Date,UNH UN Equity,GS UN Equity,MSFT UQ Equity,HD UN Equity,CAT UN Equity,AMGN UQ Equity,MCD UN Equity,CRM UN Equity,BA UN Equity,AAPL UQ Equity,CVX UN Equity,TRV UN Equity,WMT UN Equity,JNJ UN Equity,AXP UN Equity,PG UN Equity,JPM UN Equity,IBM UN Equity,MRK UN Equity,NKE UN Equity,MMM UN Equity,DIS UN Equity,KO UN Equity,CSCO UQ Equity,INTC UQ Equity,VZ UN Equity
2017-08-10,192.57,225.5,71.41,153.88,113.15,169.11,156.62,87.63,232.88,38.83,110.11,129.69,80.66,133.09,84.56,91.74,92.19,135.4805,59.2902,59.07,206.23,101.35,45.74,31.0,36.14,48.02
2017-08-11,193.02,224.15,72.5,154.88,112.85,169.43,157.3,88.29,234.88,39.37,109.23,128.18,80.4,133.1,84.29,91.34,91.42,135.4805,59.481,58.97,205.98,101.99,45.59,31.47,35.87,48.06
2017-08-14,193.71,227.36,73.59,154.26,113.71,171.67,157.26,90.25,237.15,39.963,108.71,128.79,80.7,133.48,85.47,91.65,92.49,135.9389,59.7575,59.78,207.37,101.4,45.8,31.84,36.34,48.78
2017-08-15,194.5,227.59,73.22,150.17,113.65,170.04,157.62,90.7,239.17,40.4,108.57,129.05,80.77,133.38,86.79,92.2,92.73,135.7001,59.5954,58.56,207.18,101.51,46.19,32.09,36.0,48.48
2017-08-16,193.77,225.61,73.65,152.25,114.12,171.39,158.9,92.24,237.59,40.238,106.84,129.47,80.98,134.17,87.39,92.44,92.09,136.1109,59.7861,58.54,207.92,102.2,46.2,32.34,35.81,48.41
2017-08-17,192.7,221.42,72.4,149.67,113.14,167.81,157.89,90.88,235.59,39.465,105.92,128.19,79.7,133.04,86.09,92.07,90.65,134.3916,58.9374,57.46,205.35,101.38,45.86,31.04,35.17,47.89
2017-08-18,190.82,222.15,72.49,147.49,113.92,167.29,157.76,90.76,235.77,39.375,106.48,127.89,79.31,132.63,85.38,92.47,90.74,133.4364,58.6323,54.95,203.53,100.7,45.67,30.37,35.01,47.69
2017-08-21,192.03,220.79,72.15,149.2,113.6,168.16,158.36,91.76,235.68,39.303,105.78,127.45,79.71,133.45,85.3,92.86,90.63,134.0382,59.09,53.61,204.55,101.17,45.68,30.68,34.92,48.14
2017-08-22,194.79,223.58,73.16,149.91,115.82,170.07,159.64,92.95,239.75,39.945,106.36,127.77,80.02,134.7,85.3,92.79,91.56,134.6877,59.5191,54.13,205.46,102.77,45.6,31.27,34.65,48.35
2017-08-23,194.24,222.74,72.72,149.1,114.75,169.0,158.81,93.07,238.09,39.995,106.61,127.16,79.96,132.8,85.28,92.44,91.67,135.767,59.2616,53.61,202.67,101.5,45.54,30.92,34.66,48.28
2017-08-24,194.75,222.99,72.69,148.25,114.78,169.95,158.41,94.15,238.74,39.818,107.44,125.57,78.34,132.89,85.36,92.27,91.52,136.5311,59.7956,53.84,202.12,101.52,45.41,31.24,34.71,48.31
2017-08-25,194.36,222.47,72.82,149.65,115.35,169.74,158.82,94.1,235.89,39.965,108.23,126.47,78.63,131.68,85.47,92.51,91.89,137.2953,60.0149,53.9,202.13,102.41,45.57,31.44,34.67,48.68
2017-08-28,195.09,220.35,72.83,151.39,115.07,171.78,159.67,93.66,237.18,40.368,107.76,123.23,78.03,131.74,85.41,92.47,91.6,136.1204,60.3773,53.73,202.46,102.56,45.42,31.54,34.65,48.61
2017-08-29,196.73,219.96,73.05,149.84,116.01,172.23,159.38,93.83,240.49,40.728,107.86,123.01,78.77,132.21,85.42,92.32,91.1,136.7222,60.1866,52.73,202.92,102.57,45.45,31.48,34.73,48.51
2017-08-30,195.88,222.42,74.01,150.0,117.55,173.65,159.53,94.86,240.46,40.838,107.73,121.81,78.54,131.07,85.69,91.87,91.31,136.1682,60.1866,52.56,203.69,102.87,45.39,31.99,34.89,48.12
2017-08-31,198.9,223.74,74.77,149.87,117.49,177.77,159.97,95.49,239.66,41.0,107.62,121.18,78.07,132.37,86.1,92.27,90.89,136.6171,60.8922,52.81,204.32,101.2,45.55,32.21,35.07,47.97
2017-09-01,199.75,225.88,73.94,150.78,118.28,178.71,159.81,96.01,240.33,41.013,108.76,119.9,78.37,131.03,86.14,92.53,91.7,137.62,60.8636,53.36,203.56,101.5,45.78,32.3,35.09,47.92
2017-09-04,199.75,225.88,73.94,150.78,118.28,178.71,159.81,96.01,240.33,41.013,108.76,119.9,78.37,131.03,86.14,92.53,91.7,137.62,60.8636,53.36,203.56,101.5,45.78,32.3,35.09,47.92
2017-09-05,199.31,217.78,73.61,152.93,118.3,176.74,159.1,96.18,237.0,40.52,109.44,115.43,79.8,129.9,85.31,92.72,89.51,136.6267,60.6633,53.01,200.98,101.6,45.92,31.62,35.02,47.36
2017-09-06,198.38,218.83,73.4,156.56,116.98,178.38,158.22,95.82,234.62,40.478,111.79,117.73,80.08,130.67,85.23,92.72,90.11,137.3717,61.0257,52.76,202.05,101.5,45.96,31.87,35.76,46.91
2017-09-07,198.17,215.84,74.34,157.93,117.77,180.71,159.9,96.73,236.31,40.315,111.8,115.18,80.12,132.19,84.41,92.97,88.53,136.4929,61.3308,52.39,204.46,97.06,46.28,31.76,35.54,46.2
2017-09-08,197.75,217.21,73.98,159.66,117.82,180.64,159.71,96.43,238.78,39.658,110.78,119.76,78.88,130.98,84.25,92.84,88.42,136.0631,61.2831,52.2,205.69,97.07,46.3,31.48,35.19,46.11
2017-09-11,199.58,221.06,74.76,158.37,118.87,186.49,161.53,97.71,240.59,40.375,112.52,122.56,79.08,133.21,85.69,93.99,89.79,138.3651,62.1031,53.03,209.56,97.09,46.52,32.19,35.77,46.3
2017-09-12,197.47,225.95,74.68,159.91,120.94,191.0,156.33,96.85,240.58,40.215,112.49,122.48,79.61,132.63,86.55,93.51,90.89,139.2247,62.4178,53.4,209.64,97.89,46.72,32.41,36.09,46.79
2017-09-13,198.33,226.56,75.21,160.02,119.63,189.7,157.0,95.61,241.93,39.913,114.18,121.51,79.86,132.45,86.64,93.55,91.15,139.4444,62.4083,53.52,209.49,98.82,46.87,32.18,36.33,47.25
2017-09-14,197.73,226.85,74.77,159.38,120.48,189.44,157.0,95.3,245.23,39.57,114.45,119.96,79.68,134.18,86.19,93.55,90.97,139.0146,63.0471,53.73,211.43,97.9,46.11,32.19,36.48,47.18
2017-09-15,198.18,225.22,75.31,158.4,121.37,187.47,156.92,94.63,249.0,39.97,114.63,120.7,80.38,134.45,86.99,93.27,91.62,138.3269,63.0853,53.87,213.35,98.52,46.18,32.44,37.0,47.86
2017-09-18,198.19,227.53,75.16,157.81,123.83,186.47,156.68,95.74,253.08,39.668,115.19,120.72,80.0,135.38,87.87,93.15,92.92,138.069,62.9232,53.5,213.76,98.1,46.11,32.52,37.0,48.09
2017-09-19,194.65,228.91,75.44,157.66,124.74,186.32,157.43,95.35,252.46,39.683,116.34,120.58,80.05,135.22,89.0,94.17,93.94,137.9161,62.885,53.33,213.56,98.43,45.98,32.49,37.23,49.34
2017-09-20,195.75,229.79,74.94,158.68,124.85,188.17,159.88,95.21,255.46,39.018,116.37,121.91,80.5,133.22,88.43,94.4,94.6,139.3393,62.7325,53.56,210.51,99.21,45.78,32.6,37.07,49.48
2017-09-21,195.21,231.29,74.21,159.19,124.79,186.64,159.03,94.86,256.04,38.348,116.47,121.49,80.01,131.75,88.42,92.64,95.03,138.7471,62.5513,53.19,210.44,98.89,45.4,32.7,37.2,48.94
2017-09-22,193.03,231.03,74.41,159.97,124.43,185.76,158.91,94.94,256.45,37.973,117.29,122.04,79.53,131.39,88.4,92.24,94.83,138.623,62.1031,53.24,210.76,98.6,45.49,33.37,37.18,49.9
2017-09-25,191.75,230.26,73.26,161.1,124.32,186.29,156.26,92.47,254.32,37.638,117.99,122.67,79.15,131.17,88.21,92.72,94.12,139.3298,62.1508,53.23,210.73,99.57,45.69,33.72,37.16,49.9
2017-09-26,192.7,229.94,73.26,161.26,124.51,185.6,153.35,92.34,253.7,38.285,117.52,122.57,79.39,130.94,88.69,92.65,93.7,139.9888,61.7503,53.7,211.03,98.63,45.57,33.76,37.47,49.51
2017-09-27,194.49,234.76,73.85,160.92,124.52,184.88,154.05,93.21,255.28,38.558,117.45,122.59,79.29,129.75,89.49,90.87,95.18,139.1292,61.5692,52.67,209.48,99.24,44.64,33.48,37.54,49.51
2017-09-28,196.1,235.47,73.87,162.36,125.23,185.46,157.49,92.6,254.27,38.32,117.62,122.8,78.95,129.47,90.14,90.89,95.38,139.1292,61.3022,52.63,209.55,98.05,44.91,33.35,37.83,49.41
2017-09-29,195.85,237.19,74.49,163.56,124.71,186.45,156.68,93.42,254.21,38.53,117.5,122.52,78.14,130.01,90.46,90.98,95.51,138.5752,61.0543,51.85,209.9,98.57,45.01,33.63,38.08,49.49
2017-10-02,197.44,240.65,74.61,164.02,124.72,187.17,156.96,93.94,255.99,38.453,117.43,123.32,78.45,131.22,90.54,91.77,96.84,140.0844,61.5501,51.87,212.76,99.86,44.8,33.75,39.04,49.36
2017-10-03,198.63,241.62,74.26,165.17,125.51,187.23,156.86,95.36,255.46,38.62,117.82,123.7,79.22,132.1,91.43,92.12,97.35,140.199,61.3785,51.47,214.57,100.79,45.19,33.85,39.38,49.85
2017-10-04,200.48,240.31,74.69,165.29,126.74,188.59,157.21,95.52,255.76,38.37,117.58,123.9,79.09,132.89,91.01,92.42,96.36,139.9124,61.5978,52.08,216.52,100.55,45.5,33.44,39.34,49.9
2017-10-05,197.9,246.06,75.97,166.12,126.4,186.85,158.8,95.73,258.89,38.848,118.58,124.44,79.41,133.19,91.16,92.03,97.09,140.1417,61.5978,52.18,216.37,100.11,45.52,33.59,39.53,49.77
2017-10-06,198.06,246.02,76.0,165.85,126.93,185.82,159.6,96.32,258.58,38.825,117.03,125.07,79.0,133.22,91.55,92.33,96.92,139.9124,61.5501,52.42,216.52,100.07,45.49,33.75,39.63,48.81
2017-10-09,196.3,242.8,76.29,165.71,126.88,185.46,160.12,96.27,258.39,38.96,117.71,124.95,80.53,133.45,91.69,92.12,96.41,140.7816,61.3403,51.52,216.68,99.57,45.41,33.76,39.86,49.05
2017-10-10,194.68,242.6,76.29,165.16,128.19,185.79,160.58,95.39,260.93,38.975,118.8,125.94,84.13,133.9,91.89,91.62,97.13,141.8419,61.4643,51.53,216.75,99.58,45.87,33.55,39.65,49.14
2017-10-11,195.26,242.4,76.42,165.25,128.6,184.15,163.15,96.01,261.44,39.138,119.33,125.61,85.73,136.65,91.96,91.46,96.84,141.0013,60.8159,51.03,216.51,98.55,46.1,33.59,39.3,48.86
2017-10-12,192.92,239.8,77.12,164.59,129.99,182.76,163.91,96.74,261.91,39.0,119.14,125.95,86.1,136.83,91.61,92.15,95.99,140.4378,60.8636,50.83,217.59,96.93,46.11,33.26,39.19,48.35
2017-10-13,192.52,238.53,77.49,164.47,130.71,183.01,165.37,96.94,260.74,39.248,119.16,126.67,86.62,136.43,92.86,93.04,95.86,140.5046,60.444,50.98,217.72,97.38,46.18,33.47,39.67,47.86
2017-10-16,193.2,242.41,77.65,164.22,131.47,181.9,165.01,97.15,259.75,39.97,120.13,128.82,85.74,136.12,91.96,93.14,97.84,140.2467,60.3963,51.37,218.72,98.13,46.62,33.54,39.76,48.09
2017-10-17,203.89,236.09,77.59,163.35,130.54,186.19,165.4,96.72,258.62,40.118,120.22,128.65,85.98,140.79,91.69,92.8,97.62,139.9697,60.2819,52.0,217.75,98.36,46.52,33.6,39.79,48.4
2017-10-18,205.23,242.03,77.61,163.45,131.29,186.28,165.77,96.44,260.04,39.94,118.15,130.02,86.22,140.68,92.08,92.77,97.99,152.3773,60.5584,52.3,218.27,98.25,46.4,33.55,40.25,48.65
2017-10-19,203.25,239.99,77.91,163.24,131.55,184.12,166.5,97.19,259.04,38.995,118.2,133.17,86.4,142.04,91.9,91.59,98.11,153.6859,60.7873,52.69,219.24,99.01,46.59,33.75,40.09,49.21
2017-10-20,207.49,244.73,78.81,163.43,131.36,182.96,166.3,98.9,264.75,39.063,118.64,133.32,87.44,142.4,92.09,88.25,99.51,154.8034,60.9112,53.06,221.32,99.4,46.38,34.25,40.43,49.53
2017-10-23,207.01,242.13,78.83,164.74,131.68,180.53,163.34,98.44,262.32,39.043,118.93,134.45,88.65,143.62,92.38,87.3,99.34,152.3964,60.4535,53.66,221.55,98.7,46.32,34.35,40.83,48.99
2017-10-24,208.15,244.84,78.86,166.03,138.24,180.37,163.88,98.66,266.0,39.275,119.23,133.19,87.98,141.64,93.86,86.98,100.92,148.891,60.177,53.42,234.65,98.29,46.18,34.58,40.95,48.94
2017-10-25,207.56,241.71,78.63,166.07,136.84,177.5,163.58,99.59,258.42,39.103,118.44,131.78,88.48,142.36,93.53,86.86,101.02,146.6177,59.5477,54.94,237.68,97.8,46.05,34.3,40.78,48.64
2017-10-26,209.15,241.72,78.76,167.65,136.94,176.52,164.01,100.05,259.27,39.353,118.44,131.94,88.62,141.81,95.69,87.5,101.74,146.7132,59.1091,56.81,232.94,98.56,46.23,34.27,41.35,48.89
2017-10-27,212.6,241.71,83.81,167.34,137.81,175.28,165.39,100.7,256.46,40.763,113.54,131.06,88.17,141.78,95.79,87.04,101.77,146.7896,55.5334,55.96,234.74,98.31,46.07,34.43,44.4,48.87
2017-10-30,209.39,240.89,83.89,165.31,136.49,174.59,166.23,100.7,259.25,41.68,114.39,132.62,86.95,140.0,95.07,86.27,101.41,147.4391,52.1674,55.27,231.02,98.04,45.86,34.04,44.37,47.83
2017-10-31,210.22,242.48,83.18,165.78,135.8,175.22,166.91,102.34,257.98,42.26,115.89,132.45,87.31,139.41,95.52,86.34,100.61,147.1526,52.5297,54.99,230.19,97.81,45.98,34.15,45.49,47.87
2017-11-01,209.53,244.26,83.18,165.38,136.29,175.42,166.37,101.95,258.5,41.723,115.9,133.47,87.94,139.98,95.79,86.89,100.92,147.1239,52.7681,55.07,230.18,99.03,45.8,34.62,46.71,47.83
2017-11-02,211.1,246.88,84.05,162.71,136.47,172.41,168.1,102.6,262.63,42.028,115.33,134.69,88.8,139.93,95.98,86.51,101.59,146.4744,52.7967,55.12,232.23,98.35,45.88,34.21,47.1,47.46
2017-11-03,212.87,244.4,84.14,164.39,136.63,173.44,168.65,102.71,261.75,43.125,114.99,133.32,89.68,140.08,96.43,86.58,101.41,144.7838,53.4547,55.71,232.22,98.64,45.97,34.47,46.34,47.42
2017-11-06,212.12,243.49,84.47,164.22,137.71,170.8,170.07,102.42,264.07,43.563,117.04,133.44,88.7,139.76,96.29,86.05,100.78,144.0769,53.283,56.04,230.31,100.64,45.47,34.41,46.7,45.53
2017-11-07,212.7,239.81,84.27,163.66,138.81,173.48,170.77,102.72,266.13,43.703,117.24,133.72,88.95,139.77,95.37,86.98,98.75,144.5641,53.0065,55.15,230.05,101.61,45.94,34.4,46.78,45.57
2017-11-08,210.77,241.25,84.56,164.05,137.29,173.58,170.1,105.03,265.57,44.06,116.67,133.52,90.26,141.32,95.13,87.58,97.64,144.7742,53.9505,55.76,229.83,101.18,46.18,34.5,46.7,45.46
2017-11-09,211.56,240.79,84.09,163.27,135.34,174.0,167.0,103.6,262.7,43.97,117.24,134.53,90.3,140.35,93.75,87.78,97.63,143.5611,53.5977,56.13,228.39,102.68,46.23,34.05,46.3,45.07
