Date,KMB IB Equity,HCLT IB Equity,NTPC IB Equity,NEST IB Equity,BHARTI IB Equity,RELIANCE IB Equity,TCS IB Equity,ITC IB Equity,MM IB Equity,UTCEM IB Equity,TATA IB Equity,SUNP IB Equity,WPRO IB Equity,HUVR IB Equity,INFO IB Equity,MSIL IB Equity,BAF IB Equity,HDFCB IB Equity,ICICIBC IB Equity,APNT IB Equity,SBIN IB Equity,TTAN IB Equity,TTMT IB Equity,IIB IB Equity,JSTL IB Equity,LT IB Equity,AXSB IB Equity
2020-07-16,1322.1,627.65,86.75,17464.2,552.23,1679.11,2233.65,193.85,570.9,3815.45,34.17,499.25,262.0,2288.55,910.9,5875.5,3204.5,1062.35,344.75,1692.65,186.2,961.65,103.0,518.5,201.15,921.15,433.95
2020-07-17,1328.4,623.45,88.3,17233.35,556.89,1741.29,2201.35,194.0,589.1,3864.35,35.09,503.3,261.5,2333.35,904.0,5918.05,3301.8,1099.15,353.85,1717.95,188.3,997.75,106.4,520.8,206.75,925.5,433.35
2020-07-20,1318.6,648.45,87.15,17242.2,565.14,1748.53,2209.75,192.75,593.55,3865.75,35.24,483.85,270.85,2330.35,933.55,5867.3,3441.35,1132.8,362.85,1751.95,190.65,1001.65,105.0,528.5,206.65,919.35,433.8
2020-07-21,1358.75,651.95,88.4,17284.05,557.29,1796.41,2225.6,192.25,588.45,3862.35,35.91,477.25,271.05,2319.1,936.7,6132.9,3292.9,1139.6,378.85,1723.6,194.35,1014.95,108.5,523.4,210.05,937.8,446.2
2020-07-22,1341.8,650.6,90.4,17146.45,559.0,1825.79,2189.95,196.55,591.8,3863.35,35.01,474.25,265.9,2248.2,919.4,6006.4,3252.55,1126.4,381.1,1697.45,192.0,1057.8,105.15,513.45,207.0,920.95,479.05
2020-07-23,1374.2,652.65,90.65,17260.1,556.65,1877.31,2170.75,200.65,603.45,3837.6,35.2,476.1,266.6,2212.95,908.85,6063.75,3298.25,1130.7,392.3,1727.4,198.3,1070.1,106.05,513.95,209.45,916.35,460.85
2020-07-24,1349.9,680.65,89.35,17231.4,549.48,1955.24,2157.05,199.7,598.7,3783.85,34.61,485.4,270.45,2209.75,922.6,6000.6,3251.35,1118.8,381.85,1710.95,191.9,1057.6,103.75,522.2,204.9,904.55,445.55
2020-07-27,1322.45,701.2,87.65,17343.9,548.99,1964.04,2205.8,196.25,594.05,3859.05,35.29,475.4,268.55,2221.25,947.95,6041.8,3170.55,1079.05,358.5,1777.75,187.15,1041.4,101.7,506.4,206.9,903.55,431.65
2020-07-28,1382.75,712.9,88.55,17098.95,554.24,1983.71,2309.2,195.45,620.45,4135.7,35.84,482.5,275.45,2242.45,962.75,6287.3,3239.05,1086.25,351.9,1759.6,189.45,1052.05,106.5,526.9,215.1,913.0,437.0
2020-07-29,1389.7,693.95,88.1,16581.9,555.91,1909.37,2275.05,196.8,604.6,4184.45,37.39,493.0,277.0,2233.15,953.85,6185.6,3283.05,1065.2,350.95,1737.45,191.2,1039.45,105.8,550.8,217.5,922.35,440.85
2020-07-30,1388.05,695.1,86.6,16531.6,542.66,1921.03,2277.95,193.35,597.85,4154.9,36.67,509.95,284.05,2195.7,961.85,6265.65,3218.4,1050.45,345.05,1743.1,186.55,1041.6,103.7,519.85,214.35,908.7,425.8
2020-07-31,1367.45,705.45,87.0,16526.45,544.62,1883.05,2282.45,194.1,606.5,4124.55,36.64,531.75,280.6,2212.9,966.25,6260.45,3251.6,1032.65,346.9,1716.65,191.45,1043.25,104.7,523.6,220.2,913.35,431.6
2020-08-03,1307.2,706.05,85.55,16517.5,537.16,1829.75,2251.3,192.7,597.4,4043.9,37.33,519.8,281.3,2204.55,957.35,6165.7,3173.35,1001.95,343.4,1704.95,192.1,1076.15,113.05,503.2,220.6,915.8,417.35
2020-08-04,1323.95,692.2,85.7,16582.65,538.69,1959.75,2249.15,193.6,602.55,4003.35,37.23,528.5,281.1,2197.85,950.1,6360.7,3235.95,1041.4,351.05,1714.3,191.65,1074.9,111.4,492.6,228.05,923.8,428.9
2020-08-05,1333.85,688.1,85.9,16496.1,548.55,1937.43,2258.8,192.75,614.15,4042.25,39.58,529.0,278.15,2194.45,944.6,6526.85,3262.55,1027.85,352.2,1717.15,191.5,1105.5,115.5,492.85,235.45,926.0,434.85
2020-08-06,1339.7,705.2,86.1,16671.25,545.26,1944.63,2307.7,195.35,609.55,4030.1,40.06,532.2,279.45,2219.25,969.2,6558.8,3345.3,1040.55,359.15,1728.25,190.95,1120.35,116.8,494.75,239.65,921.95,433.0
2020-08-07,1342.1,689.55,85.75,16761.45,550.27,1955.7,2294.95,196.05,600.6,4005.15,40.4,525.8,277.25,2210.75,950.75,6679.55,3466.0,1044.0,357.85,1805.05,190.65,1090.7,119.1,509.1,240.25,915.7,433.2
2020-08-10,1360.35,692.3,88.15,16667.05,548.06,1931.01,2281.6,198.9,629.15,3970.0,41.02,543.75,277.15,2207.05,951.1,6607.05,3441.75,1051.0,363.6,1782.45,193.8,1107.8,123.8,509.35,244.95,959.7,430.95
2020-08-11,1364.6,683.55,88.15,16620.65,541.09,1944.18,2279.25,203.65,629.25,3969.6,41.65,541.05,279.5,2210.5,948.2,6647.9,3456.65,1067.6,367.4,1789.55,195.1,1066.5,122.3,521.85,253.55,961.65,448.0
2020-08-12,1335.4,716.8,88.85,16538.7,538.44,1938.3,2256.7,204.15,634.65,3999.6,41.48,532.0,276.2,2195.15,955.35,6731.0,3418.6,1063.75,366.8,1796.75,203.35,1058.15,125.3,520.5,256.7,949.65,450.95
2020-08-13,1336.3,725.45,87.2,16478.1,525.78,1933.47,2255.5,201.5,631.3,4047.45,41.33,520.8,277.0,2198.7,951.25,6730.35,3418.85,1058.95,367.9,1802.15,201.85,1097.6,131.1,518.65,258.55,990.55,448.05
2020-08-14,1308.1,709.05,88.4,16355.85,519.15,1926.0,2242.45,196.5,614.9,4010.05,41.85,531.45,276.5,2174.0,953.5,6587.4,3330.9,1034.45,361.45,1801.6,196.45,1102.3,124.55,507.35,265.4,982.15,435.45
2020-08-17,1328.75,719.0,95.4,16427.35,511.79,1905.37,2252.05,198.65,623.45,4036.05,42.5,528.35,282.35,2196.7,957.5,6770.2,3384.35,1033.55,360.25,1835.85,193.05,1124.15,123.5,513.0,269.55,1000.7,437.75
2020-08-18,1368.8,714.45,95.1,16549.45,517.09,1930.24,2269.4,198.6,622.0,4170.05,43.48,526.15,282.55,2213.8,967.15,6892.5,3419.45,1056.45,369.4,1873.6,195.1,1145.8,125.6,521.3,277.05,1004.1,445.7
2020-08-19,1356.55,710.0,94.65,16348.5,526.22,1943.4,2256.25,198.45,623.8,4195.6,43.18,525.45,279.6,2193.85,959.3,6993.45,3408.75,1067.4,374.35,1885.7,197.1,1148.1,125.15,522.15,278.7,1009.0,444.1
2020-08-20,1338.35,710.0,101.15,16217.85,515.82,1909.83,2252.0,195.85,611.95,4148.0,43.24,522.25,274.25,2186.95,955.05,6980.9,3393.95,1058.6,367.9,1875.25,194.7,1126.45,121.7,513.65,282.8,995.85,434.95
2020-08-21,1339.55,706.35,105.95,16556.65,510.42,1896.53,2248.2,196.9,610.05,4190.75,42.89,532.7,273.35,2203.15,948.85,6975.4,3390.1,1085.7,371.15,1958.35,198.35,1137.6,120.95,513.55,281.75,994.05,440.4
2020-08-24,1386.9,705.85,105.45,16535.5,517.48,1909.56,2247.95,196.65,601.85,4186.45,42.95,533.35,272.7,2194.4,947.2,7081.75,3490.65,1116.8,380.2,1963.25,201.4,1127.15,121.2,529.1,285.65,991.85,445.7
2020-08-25,1400.95,702.8,103.75,16290.5,518.86,1896.76,2242.25,195.55,609.4,4174.65,42.41,525.1,269.9,2180.15,938.35,7110.95,3643.9,1119.85,386.2,2001.0,208.0,1136.15,127.05,536.3,284.95,980.6,451.75
2020-08-26,1435.8,712.65,102.75,16189.05,505.07,1946.73,2254.65,194.95,613.2,4079.15,42.5,524.95,272.0,2183.0,950.8,7007.05,3644.4,1117.7,389.35,1971.05,209.85,1133.35,137.85,568.1,285.85,968.95,463.4
2020-08-27,1419.9,710.05,102.55,16111.35,501.58,1923.81,2247.9,194.2,636.5,4049.6,42.69,532.9,271.9,2173.4,946.4,7104.35,3631.75,1111.95,392.45,1982.0,215.75,1136.65,144.35,605.55,289.3,975.45,473.05
2020-08-28,1467.7,705.8,101.5,16104.45,513.9,1927.37,2237.1,195.55,631.2,4062.45,42.41,555.8,271.95,2152.15,934.85,7098.9,3672.25,1115.0,409.75,1957.7,224.85,1134.1,142.7,656.6,280.7,981.8,509.6
2020-08-31,1402.15,693.3,96.5,15946.1,504.48,1893.61,2256.35,191.25,606.5,3906.1,41.32,518.5,271.4,2116.55,928.5,6837.9,3489.45,1115.2,395.0,1903.4,212.15,1099.2,143.2,630.05,269.9,945.3,496.95
2020-09-01,1430.5,690.45,99.9,16191.1,536.67,1901.81,2245.3,190.3,607.9,3911.5,42.9,522.3,271.75,2163.25,914.3,6909.15,3643.75,1127.35,391.1,1978.2,218.1,1121.1,143.8,627.7,286.75,955.3,485.85
2020-09-02,1422.3,702.0,98.95,15994.25,540.31,1939.21,2264.8,191.45,643.0,3944.2,43.89,514.55,273.8,2141.6,924.05,6921.35,3670.3,1134.2,392.25,1946.0,216.2,1121.7,150.4,640.75,292.95,955.75,484.35
2020-09-03,1396.6,708.85,97.75,16387.8,528.23,1924.22,2299.55,191.65,644.3,3949.65,43.79,523.25,282.65,2138.95,935.4,7071.6,3617.4,1130.7,382.75,1978.45,213.15,1185.75,151.75,631.1,293.1,961.05,474.55
2020-09-04,1378.55,701.0,94.8,16231.45,513.46,1892.57,2289.75,186.65,632.4,3926.05,42.13,512.3,276.0,2124.6,919.25,7191.5,3595.95,1119.8,372.8,1956.0,206.65,1158.9,147.75,615.7,282.25,942.9,455.25
