Date,OR FP Equity,DG FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity
2022-03-01,344.75,91.48,44.35,134.5091,43.45,23.23,90.3,48.935,53.59,182.5,17.63,54.67,149.7,625.8,29.775,611.7,58.16,25.335,103.7,108.2,332.5,1198.0,10.792,28.365,31.26,21.34,29.82,91.4715,23.24,132.96,104.18,10.576,192.65,36.945
2022-03-02,348.5,93.07,47.975,135.2909,43.905,23.325,90.45,49.965,52.65,184.5,17.645,53.7,150.4,638.0,29.7875,619.5,56.46,25.705,108.26,102.9,334.1,1237.5,10.804,29.205,31.54,21.1,28.33,90.9344,23.3,137.58,109.68,10.736,190.95,36.86
2022-03-03,346.3,91.72,46.175,134.1091,43.07,23.49,89.55,50.76,51.23,183.9,17.735,53.21,147.8,617.4,29.3125,604.3,52.68,24.195,103.76,106.8,332.4,1209.0,10.722,29.08,31.17,21.01,27.56,89.6415,23.125,136.06,105.02,10.76,189.85,36.55
2022-03-04,336.4,86.23,44.5,130.2182,42.14,22.255,88.27,47.195,49.16,171.25,17.425,50.22,142.7,577.8,27.2125,558.6,50.5,23.125,97.0,107.65,325.9,1160.5,10.43,26.735,30.09,19.11,25.27,87.3341,20.805,129.62,97.1,9.966,182.55,34.0
2022-03-07,341.85,82.05,44.89,128.3455,43.39,22.22,87.3,45.3,48.05,170.7,16.985,48.78,141.48,567.8,26.25,542.0,49.42,21.89,95.31,114.8,322.8,1144.0,10.272,26.265,29.75,18.015,24.78,88.269,19.93,130.64,93.99,9.731,177.4,33.54
2022-03-08,328.3,84.46,45.735,125.1091,40.16,22.565,79.01,46.765,47.48,166.55,17.12,50.46,143.22,550.1,26.15,535.2,50.0,21.31,95.45,115.7,298.9,1080.5,10.268,26.145,30.13,18.915,25.69,91.2826,21.07,134.04,94.13,9.825,172.75,32.71
2022-03-09,356.0,90.73,46.225,132.7091,42.06,24.34,84.44,51.42,51.1,179.35,17.57,54.93,155.72,602.6,28.7125,580.8,54.0,23.68,104.48,110.8,317.7,1170.5,10.476,26.985,31.6,20.68,28.84,93.7789,23.5,145.26,103.14,10.716,184.95,35.97
2022-03-10,338.8,87.85,45.7,129.0545,41.44,23.635,84.01,49.345,50.48,174.75,17.75,53.87,147.88,587.9,27.9875,551.8,53.84,22.725,101.26,111.85,314.4,1124.5,10.536,26.76,31.24,19.4,27.4,92.6153,22.165,139.44,99.79,9.918,178.7,35.14
2022-03-11,338.2,88.46,45.59,130.6909,41.555,24.1,83.47,49.03,51.04,175.0,17.925,54.7,152.14,594.9,28.2,557.1,55.34,22.305,104.14,112.05,315.6,1125.0,10.492,27.69,31.67,19.8,27.27,93.1126,22.205,141.42,103.56,9.964,177.55,35.005
2022-03-14,345.25,91.47,45.75,134.4182,41.925,24.875,85.12,51.01,53.1,178.3,18.24,55.73,158.48,598.7,28.9125,564.6,54.8,22.48,105.34,109.65,324.4,1149.5,10.598,27.82,32.52,20.83,28.02,92.4562,23.075,145.9,104.56,10.06,179.15,34.625
2022-03-15,344.0,91.32,45.755,134.5818,42.285,25.065,85.9,51.29,52.76,179.45,18.33,55.22,155.88,590.0,29.425,557.2,55.48,22.99,103.18,111.45,329.0,1113.5,10.67,27.37,32.99,20.09,28.36,93.4706,23.05,146.38,103.12,10.152,177.3,35.15
2022-03-16,359.95,93.14,45.54,137.2727,43.715,25.56,89.42,54.35,53.08,187.9,18.095,58.21,162.74,628.9,30.6875,588.0,58.1,24.765,108.04,110.15,338.8,1197.5,10.59,28.77,33.03,21.59,29.21,93.5601,25.155,153.52,106.82,10.836,183.0,37.78
2022-03-17,360.85,93.41,46.01,138.6545,44.375,25.605,90.5,53.05,53.48,190.85,18.075,57.99,164.78,629.8,30.5625,593.5,57.8,23.405,106.84,112.0,346.7,1204.5,10.682,28.92,32.96,20.98,30.02,94.5149,24.915,152.92,107.24,10.806,187.75,37.64
2022-03-18,362.7,92.59,45.505,138.6727,45.55,25.475,93.88,53.35,53.81,195.15,18.225,57.77,165.28,639.4,30.5,604.5,57.82,23.305,106.54,112.3,355.0,1218.0,10.542,28.37,32.72,21.63,29.76,92.7844,24.5,151.04,106.14,10.894,189.7,38.71
2022-03-21,355.15,92.3,45.775,137.5091,44.805,25.54,92.56,52.71,52.15,193.8,18.36,56.89,165.76,633.2,30.375,595.7,58.16,23.18,103.56,115.05,352.4,1211.0,10.64,29.925,32.6,21.76,28.63,92.7943,24.48,150.7,105.32,10.888,189.95,38.76
2022-03-22,363.35,93.5,45.98,137.0364,45.2,26.005,91.24,53.6,52.32,193.5,18.55,57.88,168.9,643.9,30.8125,596.7,58.36,23.585,104.94,115.65,353.1,1221.0,10.694,30.555,33.12,21.88,29.36,93.5303,24.825,152.86,108.26,11.052,189.2,39.195
2022-03-23,357.25,91.92,46.335,140.2,45.11,25.715,90.52,52.23,51.72,191.25,18.775,56.75,167.88,624.3,30.425,580.8,56.1,23.045,104.32,116.0,348.9,1206.0,10.69,30.29,32.67,21.88,28.8,93.1126,24.37,150.72,107.24,10.854,187.9,39.1
2022-03-24,349.9,91.53,46.685,143.1273,45.065,25.67,88.05,51.1,51.51,189.7,18.785,55.42,167.36,624.7,29.8875,577.2,55.22,22.865,104.56,118.0,343.1,1204.0,10.714,30.255,32.46,21.78,27.97,92.6849,24.09,150.8,107.4,10.674,186.4,39.895
2022-03-25,349.35,91.74,47.6,143.4545,44.74,25.715,88.29,50.0,50.97,192.2,19.0,54.86,163.88,626.0,29.9125,582.3,56.52,22.995,104.46,120.3,342.0,1224.0,10.8,31.215,32.6,21.07,27.72,92.6153,23.765,145.88,107.54,10.676,187.3,40.185
2022-03-28,353.55,92.1,46.69,144.2,44.66,25.87,90.33,51.07,51.0,194.3,19.055,55.64,163.82,635.7,30.1,584.3,56.64,23.04,103.62,117.95,341.6,1238.5,10.844,30.37,31.82,20.71,28.06,93.59,24.01,148.4,107.7,10.738,189.55,40.32
2022-03-29,369.25,95.35,45.81,144.5273,46.025,26.81,92.86,54.34,51.84,201.3,19.255,57.92,171.7,671.8,31.725,599.9,57.7,25.73,110.12,112.05,349.8,1307.0,10.772,30.025,32.19,22.43,29.22,91.5014,26.01,154.76,113.56,11.336,193.05,41.44
2022-03-30,366.65,93.73,46.965,144.9091,45.635,26.53,91.87,53.08,50.81,200.3,19.535,55.45,170.88,660.5,30.8125,586.4,57.24,24.74,108.04,114.25,345.9,1303.0,10.76,29.715,31.98,21.82,29.11,93.0728,25.365,152.68,111.36,11.136,197.0,40.75
2022-03-31,363.85,92.99,46.03,144.4727,44.715,26.565,89.91,51.93,50.03,202.5,19.645,54.27,166.3,649.4,30.7375,575.7,55.26,23.875,107.26,113.95,346.3,1291.5,10.704,29.3,31.63,21.27,29.09,92.0086,24.46,152.16,110.36,10.886,199.3,39.59
2022-04-01,367.7,93.66,46.755,144.9091,44.34,26.77,90.94,51.69,50.27,199.85,19.35,54.03,165.7,649.6,30.85,575.3,55.08,24.075,106.98,112.6,346.3,1270.5,10.778,29.785,31.71,21.09,29.52,93.6298,24.4,154.38,111.02,10.92,199.25,38.655
2022-04-04,371.05,92.15,46.645,146.5455,45.58,26.24,91.48,51.34,50.18,205.4,19.3,54.64,170.3,663.9,30.875,585.7,55.32,24.52,106.62,116.0,347.4,1301.0,10.708,29.62,31.44,21.55,29.9,94.8531,24.0,156.28,110.1,10.864,198.85,38.675
2022-04-05,374.5,88.38,46.3,147.0364,45.935,25.76,93.0,49.0,50.56,200.8,18.965,52.3,169.8,660.9,30.1125,584.6,55.2,23.005,103.18,116.6,348.7,1316.5,10.704,28.465,30.63,20.79,28.32,96.4544,22.66,151.96,105.24,10.318,202.2,36.625
2022-04-06,366.4,86.31,45.65,145.6,44.04,25.71,95.22,47.295,50.65,192.9,19.395,49.955,163.3,636.2,29.425,557.1,54.62,22.12,101.1,117.45,332.9,1290.0,10.852,28.02,30.37,20.24,27.83,97.8468,21.91,144.14,103.8,10.066,199.15,35.61
2022-04-07,367.2,87.04,44.91,145.6727,43.565,25.485,98.4,46.56,51.6,190.65,19.775,50.01,162.9,624.0,29.025,548.4,54.32,21.93,100.72,118.0,336.7,1277.0,10.86,27.73,30.44,19.7,27.12,99.3685,21.475,143.86,101.98,9.887,197.65,35.25
2022-04-08,367.85,88.17,45.66,147.4727,41.97,25.765,99.74,47.845,52.24,189.7,20.17,51.36,164.75,631.7,29.2125,551.3,55.12,21.855,101.7,119.95,339.0,1294.0,11.036,28.28,30.8,20.77,27.43,103.8938,21.865,145.5,103.4,9.885,201.3,35.035
2022-04-11,364.45,90.35,46.625,149.0909,40.555,26.5,98.46,48.745,52.32,189.45,20.41,51.51,163.25,619.9,29.15,535.3,54.64,22.185,102.0,123.0,337.8,1252.5,11.098,28.63,31.19,20.61,27.69,105.6443,22.95,143.0,104.44,10.008,200.5,34.87
2022-04-12,361.65,90.91,46.425,147.3636,40.82,26.775,96.18,48.71,51.93,189.95,20.08,52.08,161.35,630.9,29.475,531.8,54.24,22.17,101.54,125.05,334.3,1263.0,11.106,29.28,31.02,20.72,27.6,102.6605,22.525,141.86,104.66,9.917,197.15,34.75
2022-04-13,359.2,90.29,46.985,147.4727,40.52,26.66,95.66,48.925,51.37,188.8,20.14,52.29,161.95,634.1,29.675,526.3,54.64,22.27,102.02,125.8,332.9,1250.0,11.142,29.635,30.78,20.98,27.9,103.1181,22.72,141.84,104.36,9.96,192.25,34.675
2022-04-14,361.45,89.97,46.69,148.0909,40.55,27.0,95.72,49.505,52.67,191.15,20.19,51.9,167.25,640.0,29.8,533.8,55.62,22.23,103.88,128.5,335.1,1283.5,11.258,30.505,31.15,21.23,27.98,102.581,22.86,141.32,106.12,9.984,196.45,34.155
2022-04-15,361.45,89.97,46.69,148.0909,40.55,27.0,95.72,49.505,52.67,191.15,20.19,51.9,167.25,640.0,29.8,533.8,55.62,22.23,103.88,128.5,335.1,1283.5,11.258,30.505,31.15,21.23,27.98,102.581,22.86,141.32,106.12,9.984,196.45,34.155
2022-04-18,361.45,89.97,46.69,148.0909,40.55,27.0,95.72,49.505,52.67,191.15,20.19,51.9,167.25,640.0,29.8,533.8,55.62,22.23,103.88,128.5,335.1,1283.5,11.258,30.505,31.15,21.23,27.98,102.581,22.86,141.32,106.12,9.984,196.45,34.155
2022-04-19,350.95,89.24,47.345,146.2727,40.245,26.59,94.88,49.745,52.63,187.8,20.6,51.58,165.25,634.1,30.35,529.9,55.88,22.745,102.8,129.0,325.3,1237.0,11.17,30.415,31.48,21.53,27.34,101.9842,23.17,140.74,104.22,10.05,191.15,34.595
2022-04-20,353.65,91.83,47.035,147.0727,40.295,27.155,94.28,51.23,55.66,192.15,20.37,52.96,169.65,642.3,30.15,541.9,58.0,22.84,105.14,127.55,344.2,1247.5,11.138,29.865,32.17,21.31,28.37,101.8052,23.93,143.22,105.82,10.346,195.0,35.69
2022-04-21,360.95,94.65,47.15,147.8727,40.845,27.09,89.8,52.4,55.34,195.2,19.77,54.87,171.7,653.4,30.3625,553.1,58.66,23.525,109.46,125.2,345.0,1254.5,11.084,30.775,32.29,22.0,29.06,102.6804,24.305,147.34,108.52,10.518,195.35,35.975
