Date,RIO LN Equity,OR FP Equity,AAL LN Equity,CAT UN Equity,JPM UN Equity,CVX UN Equity,KO UN Equity,GE UN Equity,AMT UN Equity,7267 JT Equity,HPQ UN Equity,BBVA SQ Equity,AMZN UW Equity,ASML NA Equity,SAN SQ Equity,6752 JT Equity,IBM UN Equity,PHIA NA Equity,JNJ UN Equity,6758 JT Equity,MCD UN Equity,8306 JT Equity,TEF SQ Equity,MRK UN Equity,TTE FP Equity,MMM UN Equity,CS FP Equity,PFE UN Equity,PG UN Equity,RTX UN Equity,WMT UN Equity,005930 KP Equity,SGO FP Equity,5108 JT Equity,INTC UW Equity,7751 JT Equity,MSFT UW Equity,NVDA UW Equity,MC FP Equity,C UN Equity,GS UN Equity,NG/ LN Equity,ABT UN Equity,TMO UN Equity,GOOGL UW Equity,JCI UN Equity,ULVR LN Equity,INGA NA Equity,GSK LN Equity,700 HK Equity,BMY UN Equity,ABBN SE Equity,AAPL UW Equity,AZN LN Equity,NESN SE Equity,CL UN Equity,NOVN SE Equity,ROG SE Equity,SREN SE Equity,UBSG SE Equity,DGE LN Equity,HSBA LN Equity,AON UN Equity,BHP AT Equity,EMR UN Equity,VOD LN Equity,F UN Equity,BARC LN Equity,SAN FP Equity,STAN LN Equity,SU FP Equity,ALV GY Equity,RWE GY Equity,KMB UN Equity,MS UN Equity,BAYN GY Equity,DBK GY Equity,BAS GY Equity,LLY UN Equity,SIE GY Equity,EOAN GY Equity,MMC UN Equity,MUV2 GY Equity,BP/ LN Equity,DTE GY Equity,MBG GY Equity,NKE UN Equity,7203 JT Equity,PRU LN Equity,DD UN Equity,RO SE Equity
2021-04-20,5955.0,337.6,3052.738,227.63,149.27,101.33,54.17,81.53,252.67,1091.3,33.37,4.3125,166.735,512.0,2.8515,1366.0,131.9655,47.3837,166.48,11865.0,233.01,585.0,3.685,74.9185,36.86,198.3,23.17,39.03,137.75,77.09,140.79,83900,52.36,4406.0,62.7,2555.0,258.26,151.7125,605.3,69.79,331.88,911.3,120.0,482.36,113.951,61.2,4128.0,10.144,1340.557,573.855,66.08,28.6762,133.11,7494.0,105.96,81.33,80.35,308.05,84.0,14.22,3198.5,417.25,234.82,42.2498,90.83,131.48,11.45,181.8,85.5936,475.0,136.14,215.55,33.06,142.39,77.29,54.14,9.965,70.97,190.61,140.28,10.054,127.35,254.15,291.75,16.048,61.859,127.11,1683.6,1493.555,75.13,324.8
2021-04-21,5974.0,342.6,3054.231,232.46,150.54,102.73,54.61,83.3404,252.18,1063.0,33.9,4.2855,168.101,532.9,2.817,1328.5,137.1138,47.9294,166.59,11575.0,232.26,571.3,3.703,75.5479,36.905,200.88,23.17,39.53,136.85,78.87,141.2,82600,52.18,4330.0,63.7,2486.0,260.58,153.605,624.6,70.65,335.27,904.1,122.6,480.41,113.917,61.88,4139.5,10.156,1363.622,561.41,66.32,28.7631,133.5,7620.0,106.94,81.15,81.23,317.15,83.8,14.055,3228.0,415.85,233.5,42.0361,92.11,132.84,11.73,180.74,86.3693,474.5,135.32,216.2,32.57,141.47,79.25,55.85,9.851,71.12,190.95,141.2,9.94,127.53,255.95,295.7,16.032,61.758,129.9,1642.4,1487.575,77.49,337.2
2021-04-22,6005.0,347.7,3079.613,228.89,147.37,100.95,54.44,83.715,251.54,1084.0,33.77,4.4005,165.452,543.7,2.8455,1356.0,134.9456,48.1208,165.18,11720.0,232.96,570.4,3.6935,74.3369,36.895,200.9,23.16,38.64,134.63,78.74,139.67,82400,52.87,4433.0,62.57,2532.0,257.17,148.5025,632.0,69.81,330.85,915.0,123.5,484.21,112.626,62.29,4131.5,10.1,1364.026,572.472,66.32,28.6955,131.94,7673.0,110.02,81.05,81.17,312.85,83.54,13.975,3316.5,415.5,231.15,42.4279,91.52,134.1,11.94,182.32,86.0809,478.8,137.12,216.05,34.04,140.33,78.29,55.69,9.791,70.18,187.05,142.46,10.11,126.91,255.4,295.0,16.152,61.935,129.18,1673.6,1486.578,75.55,332.4
2021-04-23,6119.0,345.45,3117.436,230.11,150.19,101.55,54.47,84.589,254.04,1077.7,34.42,4.333,167.044,554.1,2.847,1309.0,136.044,48.207,165.52,11840.0,234.58,572.2,3.668,74.2606,36.775,202.2,23.18,38.66,133.94,80.54,139.9,82800,52.97,4494.0,59.24,2586.5,261.15,152.6525,628.1,71.38,339.35,903.5,123.31,488.09,114.997,62.9,4113.5,10.204,1358.159,582.613,66.01,28.8885,134.32,7564.0,109.64,79.79,80.65,309.45,83.26,13.995,3296.0,419.0,230.89,42.3478,92.46,133.58,12.22,181.98,84.8775,479.8,137.24,216.4,33.88,132.11,80.95,54.53,9.826,70.42,188.72,142.94,10.074,127.67,255.7,292.1,16.082,61.867,130.19,1655.4,1505.017,76.81,328.6
2021-04-26,6220.0,342.75,3186.115,230.56,150.56,101.52,53.66,84.7138,252.99,1096.7,34.33,4.4785,170.45,557.0,2.914,1313.5,135.2226,46.4935,164.12,11700.0,232.31,572.5,3.7715,73.9269,36.86,199.63,23.25,38.68,131.26,81.0,137.91,83500,52.74,4467.0,58.76,2652.0,261.55,154.78,625.8,72.2,343.52,900.0,122.58,494.04,115.497,62.81,4086.0,10.512,1356.136,579.386,65.89,28.8306,134.72,7530.0,108.54,79.28,80.43,306.45,83.96,14.12,3215.5,422.75,229.52,42.5971,92.13,134.34,12.27,186.08,84.9172,484.2,136.52,217.3,33.71,130.52,81.52,54.83,10.082,71.35,187.22,142.48,10.028,127.2,257.25,296.55,16.044,62.699,131.6,1653.0,1519.968,76.93,324.6
2021-04-27,6155.0,336.2,3154.762,230.34,151.25,102.7,53.58,84.2144,252.49,1075.7,34.43,4.485,170.872,552.7,3.06,1286.0,135.6428,45.5267,163.18,11450.0,234.98,575.6,3.8055,73.7648,36.79,194.45,23.1,38.45,131.18,82.81,138.38,82900,52.68,4418.0,57.97,2617.0,261.97,153.8175,632.7,72.99,346.63,900.6,121.7,490.22,114.549,63.4,4052.5,10.578,1352.292,576.16,65.96,29.1007,134.39,7561.0,108.12,78.56,79.12,305.25,83.04,13.84,3229.5,440.4,233.79,43.0779,92.16,135.04,12.49,186.5,84.9371,489.4,137.52,216.35,33.56,129.45,81.96,54.28,10.186,71.07,182.21,142.16,10.054,132.21,255.4,295.3,15.998,62.631,132.11,1634.4,1516.479,77.08,322.8
2021-04-28,6167.0,339.0,3159.241,232.3,152.23,105.22,53.59,82.404,251.95,1088.3,34.32,4.4925,172.925,549.8,3.1425,1316.5,136.5885,45.1629,161.98,11810.0,232.41,583.7,3.843,73.5073,37.445,195.93,23.43,38.81,131.4,83.08,137.89,82100,52.73,4462.0,57.62,2593.0,254.56,152.7675,633.2,72.91,348.11,897.7,121.45,485.8,117.952,63.1,4077.5,10.642,1352.09,578.925,66.03,29.2839,133.58,7507.0,108.38,78.77,79.12,302.3,83.78,14.1,3248.5,443.35,238.38,42.9354,92.08,135.14,12.43,188.96,86.9959,493.8,136.54,218.05,32.93,129.64,82.73,53.45,11.276,70.89,180.55,141.36,10.018,134.01,257.3,304.5,15.98,63.101,130.71,1659.8,1532.925,77.05,318.2
2021-04-29,6156.0,343.1,3126.892,227.47,155.19,106.9,54.26,82.4664,250.41,1088.3,34.7,4.5505,173.566,542.8,3.198,1316.5,137.7729,44.9667,164.2,11810.0,235.21,583.7,3.845,70.2558,37.1,199.05,23.445,38.6,132.51,82.87,139.63,81700,51.85,4462.0,58.28,2593.0,252.51,153.2475,635.7,73.84,352.97,892.0,121.01,464.39,119.638,63.28,4213.0,10.752,1345.008,582.152,62.89,29.0331,133.48,7398.0,109.16,79.82,78.28,299.85,82.48,14.12,3271.0,454.3,239.27,43.3272,92.79,135.48,11.26,188.72,86.3693,521.6,134.38,216.45,31.68,132.63,83.64,53.15,11.62,70.52,182.2,139.4,10.038,135.98,240.35,302.0,15.95,61.859,133.26,1659.8,1520.466,77.92,318.6
2021-04-30,6076.0,341.65,3055.725,228.11,153.81,103.07,53.98,81.9046,254.77,1077.3,34.11,4.6705,173.371,541.2,3.215,1289.0,135.5187,44.8758,162.73,10900.0,236.08,578.0,3.8535,71.0377,36.825,197.14,23.525,38.65,133.42,83.24,139.91,81500,52.5,4377.0,57.53,2603.0,252.18,150.095,626.2,71.24,348.45,910.6,120.08,470.23,117.675,62.34,4231.5,10.63,1355.124,574.316,62.42,28.5991,131.46,7715.0,108.88,80.7,77.96,297.6,84.88,13.925,3251.0,452.8,251.44,42.4724,90.49,136.8,11.54,175.5,86.797,519.6,133.02,216.4,31.54,133.32,82.55,53.82,11.606,67.08,182.77,138.82,10.026,135.7,240.65,303.0,16.0,62.161,132.62,1625.4,1529.436,77.11,317.2
2021-05-03,6076.0,345.6,3055.725,228.17,153.36,105.53,54.48,83.9647,252.42,1077.3,34.48,4.676,169.325,538.8,3.197,1289.0,138.26,45.6224,165.21,10900.0,235.56,578.0,3.855,72.4489,37.24,198.61,23.91,39.83,135.0,84.14,142.12,81700,52.77,4377.0,57.26,2603.0,251.86,148.3675,630.6,71.71,350.16,910.6,119.53,467.38,117.154,63.89,4231.5,10.684,1355.124,575.699,63.48,28.8692,132.54,7715.0,109.2,81.07,78.56,301.7,86.06,14.01,3251.0,452.8,252.46,41.8758,90.93,136.8,11.63,175.5,86.2201,519.6,134.7,219.9,31.81,134.74,82.46,53.57,11.396,67.06,185.92,140.84,10.144,135.3,242.0,303.0,16.098,62.463,133.03,1625.4,1529.436,78.28,319.8
