Date,600519 CH Equity,600036 CH Equity,000858 CH Equity,600900 CH Equity,600030 CH Equity,600276 CH Equity,600887 CH Equity,600309 CH Equity,000651 CH Equity,000568 CH Equity,000725 CH Equity,600809 CH Equity,600028 CH Equity,000001 CH Equity,000063 CH Equity,600837 CH Equity,600016 CH Equity,600031 CH Equity,600050 CH Equity,000792 CH Equity,600690 CH Equity,600406 CH Equity,000002 CH Equity,600438 CH Equity,600000 CH Equity,600436 CH Equity,600089 CH Equity,002027 CH Equity,600104 CH Equity,000625 CH Equity,600585 CH Equity,600150 CH Equity,000100 CH Equity,600660 CH Equity,600111 CH Equity,600019 CH Equity,000938 CH Equity,600893 CH Equity,600570 CH Equity,600426 CH Equity,600760 CH Equity,600009 CH Equity,600547 CH Equity,000661 CH Equity,000596 CH Equity,600584 CH Equity,000776 CH Equity,600010 CH Equity,000977 CH Equity,000538 CH Equity,600745 CH Equity,600085 CH Equity,000963 CH Equity,600015 CH Equity,600196 CH Equity,600886 CH Equity,600011 CH Equity,600588 CH Equity,000157 CH Equity,600674 CH Equity,600029 CH Equity,600795 CH Equity,600845 CH Equity,600176 CH Equity,000768 CH Equity,600600 CH Equity,000301 CH Equity,000786 CH Equity,600346 CH Equity,600115 CH Equity,002001 CH Equity,000425 CH Equity,600741 CH Equity,000733 CH Equity,600188 CH Equity,000895 CH Equity,600233 CH Equity,000876 CH Equity,600732 CH Equity,002007 CH Equity,000983 CH Equity,600039 CH Equity,600332 CH Equity,600219 CH Equity,600383 CH Equity,600460 CH Equity,600132 CH Equity,601607 CH Equity,600362 CH Equity,600763 CH Equity,000723 CH Equity,000408 CH Equity,600183 CH Equity,600061 CH Equity,600875 CH Equity,000069 CH Equity,600754 CH Equity,000617 CH Equity,600803 CH Equity,600884 CH Equity,000708 CH Equity,000877 CH Equity,600606 CH Equity,000800 CH Equity,001289 CH Equity
2015-08-05,207.19,17.91,25.73,14.73,19.139,14.489,17.47,18.342,22.7,25.2,3.69,13.85,5.81,10.492,19.96,16.99,7.775,8.61,6.26,14.133,11.34,10.486,14.45,6.04,10.706,42.847,10.067,4.071,19.41,9.302,21.07,39.72,4.509,13.38,14.72,7.06,25.474,53.56,19.923,6.746,9.092,29.74,9.362,65.179,40.47,19.01,18.67,3.214,23.63,53.643,23.72,30.52,20.278,9.117,26.73,15.16,10.75,16.523,6.61,11.78,12.04,5.2,10.886,7.523,35.3,37.8,5.91,18.795,5.196,11.23,6.969,3.997,17.22,22.75,7.707,19.94,8.805,9.065,4.893,15.433,5.285,4.221,31.78,2.851,11.81,7.97,18.02,21.28,15.94,55.18,7.0,17.5,5.869,14.092,15.8,9.72,28.81,7.421,13.916,9.621,8.306,10.3,15.394,17.09,6.57
2015-08-06,204.96,18.12,25.73,14.73,18.715,14.424,17.27,18.175,22.17,24.75,3.64,13.607,5.75,10.442,19.78,16.38,7.8,8.28,6.15,14.587,11.13,10.602,14.34,5.935,10.755,42.7,9.993,4.071,19.39,9.11,21.21,39.2,4.636,13.18,15.09,6.88,26.385,51.7,20.45,6.755,8.74,30.56,9.24,64.046,39.62,19.01,18.2,3.171,24.517,53.079,23.72,30.05,19.942,9.058,26.81,15.16,10.66,16.477,6.41,11.73,11.82,5.12,10.693,7.153,34.84,37.18,5.9,18.795,5.196,10.91,7.006,3.873,16.9,21.95,8.193,19.93,8.52,8.89,4.929,15.359,5.315,4.286,31.13,2.862,11.56,8.04,17.95,21.18,15.68,55.18,7.144,17.14,5.959,13.289,16.19,9.31,28.81,7.564,13.294,10.583,8.306,10.1,15.074,17.1,6.6
2015-08-07,206.93,18.29,25.73,14.73,19.12,14.458,17.51,18.608,22.51,25.17,3.77,14.043,5.85,10.508,20.65,16.49,7.775,8.42,6.28,14.713,11.35,11.661,14.6,6.15,10.818,43.88,10.246,4.071,19.57,9.187,21.1,40.66,4.745,13.35,15.71,7.02,27.515,54.73,22.495,6.919,8.985,30.8,9.403,64.922,40.26,19.55,18.37,3.25,26.012,53.586,23.72,30.15,20.936,9.192,27.3,15.16,10.72,17.119,6.47,11.97,12.35,5.24,11.148,7.398,36.03,37.61,6.12,18.795,5.196,11.49,7.157,3.957,17.14,23.1,8.453,20.14,8.695,9.225,5.179,15.612,5.423,4.314,31.26,2.917,11.72,8.28,18.47,21.49,16.04,55.18,7.189,17.57,6.083,13.743,17.14,9.49,28.81,7.864,13.452,10.655,8.306,10.36,16.398,17.49,6.75
2015-08-10,212.3,18.62,25.73,14.73,21.034,15.417,18.15,19.342,23.24,26.12,3.91,14.543,6.12,10.767,21.61,17.7,7.867,8.81,6.91,15.233,12.08,12.13,15.07,6.635,11.035,46.067,10.795,4.071,20.31,9.544,21.62,44.73,4.909,13.77,16.81,7.72,28.783,59.49,23.558,7.305,9.883,31.95,9.918,66.83,41.52,20.85,19.51,3.479,27.144,54.707,23.72,31.49,21.947,9.475,28.39,15.16,11.25,18.152,6.77,12.49,13.29,5.55,11.838,8.089,38.73,39.05,6.5,18.795,5.196,12.31,7.439,4.1,17.93,24.74,8.693,20.84,9.0,9.655,5.314,16.131,5.638,4.479,32.68,3.078,12.06,8.61,19.14,22.36,17.04,55.18,7.478,18.45,6.379,15.118,18.52,9.98,28.81,8.65,14.046,11.01,8.306,11.18,17.212,19.24,7.13
2015-08-11,210.75,18.2,25.73,14.73,20.845,14.968,17.91,19.033,23.25,26.81,3.95,14.557,6.12,10.7,21.32,17.3,7.733,8.88,7.03,15.413,12.3,11.898,15.57,6.695,10.888,45.213,10.676,4.071,20.06,9.484,21.02,49.2,4.836,13.81,16.8,7.75,28.214,59.21,24.319,7.31,10.209,31.33,10.908,65.284,40.1,21.08,19.1,3.471,26.434,54.993,23.72,30.93,22.083,9.308,27.89,15.16,11.06,17.856,7.45,12.97,12.36,5.49,11.787,8.045,38.12,38.98,7.15,18.795,5.196,11.39,7.312,4.083,17.79,25.19,8.42,20.77,9.295,9.605,5.271,15.673,5.631,4.407,32.35,3.082,12.1,8.56,19.06,22.06,17.69,55.18,7.333,19.48,6.345,15.099,18.2,10.16,28.81,9.136,14.092,11.038,8.306,10.94,17.429,20.41,7.16
2015-08-12,209.47,17.9,25.73,14.73,20.723,14.517,17.63,18.425,22.69,26.06,3.86,14.114,6.04,10.475,20.88,17.13,7.65,8.53,7.18,15.067,12.05,11.458,14.93,6.8,10.762,45.233,10.439,4.071,19.84,9.401,20.77,52.43,4.845,13.52,16.49,7.71,26.899,60.05,22.391,7.051,11.23,30.41,12.0,64.303,41.8,20.74,18.9,3.393,25.421,53.786,23.72,29.99,21.556,9.142,26.45,15.16,10.96,17.096,7.2,12.79,11.6,5.42,12.134,8.304,38.12,38.62,6.81,18.795,5.196,10.72,7.304,4.053,17.64,24.7,8.553,20.36,9.82,9.495,5.286,15.234,5.631,4.264,31.54,3.001,11.55,8.35,18.57,21.68,17.31,55.18,7.278,19.46,6.117,15.421,17.54,9.91,28.81,9.179,13.702,10.552,8.306,11.1,18.121,20.17,7.18
2015-08-13,209.51,17.85,25.73,14.73,20.892,14.529,17.71,18.633,22.95,26.31,3.96,14.279,6.07,10.475,21.36,17.25,7.6,8.73,7.19,15.3,12.31,11.817,14.88,7.075,10.804,45.127,10.609,4.071,20.04,9.385,20.92,54.42,5.109,13.64,18.14,7.73,27.511,60.66,23.802,7.278,11.847,31.98,12.005,63.109,41.15,21.06,19.15,3.586,26.417,53.871,23.72,30.27,21.4,9.158,26.85,15.16,11.2,17.569,7.51,13.22,11.8,5.54,12.142,8.437,38.12,39.54,7.03,18.795,5.196,11.15,7.373,4.13,18.14,25.21,8.607,20.27,9.695,9.575,5.55,15.529,5.7,4.336,32.19,3.093,11.63,8.74,18.91,22.32,18.05,55.18,7.694,20.0,6.359,15.513,18.28,10.05,28.81,9.55,13.99,10.931,8.306,11.3,19.082,21.03,7.39
2015-08-14,209.98,17.74,25.73,14.73,21.147,14.486,17.77,18.442,22.54,27.4,3.96,14.414,6.07,10.533,21.32,17.43,7.55,8.57,7.42,15.46,12.21,11.904,14.95,7.39,10.832,44.987,10.773,4.071,19.81,9.5,21.13,54.98,5.0,13.73,17.73,7.61,28.499,59.99,24.091,7.351,11.99,32.1,11.566,64.482,39.65,20.73,19.3,3.5,27.574,53.421,23.72,30.64,22.447,9.117,26.7,15.16,11.09,18.202,7.36,13.75,11.68,5.6,12.665,8.973,38.12,39.19,7.01,18.795,5.196,10.89,7.418,4.077,18.0,27.73,8.447,20.42,9.33,9.495,5.721,16.522,5.731,4.364,32.58,3.111,11.76,8.65,18.83,22.32,17.52,55.18,7.917,22.0,6.303,16.461,18.12,10.38,28.81,10.507,14.473,10.734,8.306,11.92,19.186,23.13,7.25
2015-08-17,206.22,17.33,25.73,14.73,20.723,14.665,18.45,18.725,22.25,27.45,4.14,14.471,6.02,10.45,21.48,17.11,7.467,8.59,7.43,16.3,12.01,11.753,14.76,7.4,10.713,44.56,11.003,4.071,19.56,9.385,20.8,55.39,5.227,13.73,18.29,7.77,28.287,59.69,23.516,7.87,11.898,32.91,11.643,66.913,40.1,20.8,19.0,3.621,28.664,53.457,23.72,31.4,24.35,8.983,26.73,15.16,11.14,17.906,7.46,13.51,12.81,5.65,12.305,9.461,38.12,38.63,7.22,18.795,5.196,11.98,7.77,4.103,17.97,29.79,8.493,20.78,9.67,9.495,5.843,16.728,5.854,4.636,35.84,3.192,11.68,8.87,19.23,23.27,17.92,55.18,8.711,23.15,6.538,17.27,18.42,10.92,28.81,11.214,15.002,10.779,8.306,13.11,21.108,24.97,7.53
2015-08-18,201.06,16.8,25.73,14.73,19.158,14.335,17.04,17.033,20.98,25.12,3.79,13.086,5.83,10.225,19.33,15.97,7.258,7.73,6.7,14.673,11.37,10.579,14.22,6.66,10.399,41.813,9.904,4.071,18.24,8.709,19.95,49.85,4.709,13.02,16.46,6.99,25.459,53.72,21.165,7.082,10.709,29.62,10.48,61.092,36.09,18.73,17.42,3.257,25.801,50.821,23.72,29.0,21.914,8.508,25.09,15.16,10.19,16.536,6.71,12.16,11.53,5.09,11.267,8.514,38.12,36.58,6.5,18.795,5.196,10.8,6.993,3.723,16.48,26.81,7.807,19.68,8.705,9.495,5.55,15.811,5.292,4.171,36.82,2.88,10.92,7.99,17.31,21.04,16.13,55.18,7.839,20.84,5.903,15.546,16.58,9.83,28.81,10.093,13.498,9.7,8.306,11.8,18.996,22.47,6.78
2015-08-19,201.62,17.13,25.73,14.73,19.431,14.727,17.34,17.892,21.01,25.9,3.93,13.4,5.79,10.192,19.77,16.05,7.442,7.93,7.37,14.873,11.51,10.648,14.5,6.91,10.49,43.233,10.134,4.071,18.37,8.764,20.26,50.61,4.809,13.76,16.51,7.49,25.991,53.93,23.282,7.346,10.719,29.72,10.724,63.802,37.03,19.0,17.66,3.379,27.448,51.95,23.72,29.58,22.472,8.717,25.3,15.16,10.34,17.064,6.91,12.2,11.6,5.19,11.851,8.172,37.92,36.96,6.65,18.795,5.196,11.14,7.271,3.77,16.64,27.19,7.88,19.83,8.8,9.495,5.671,16.022,5.438,4.357,38.58,2.983,11.04,8.1,17.56,21.79,16.8,55.18,8.028,21.22,6.497,15.092,16.89,9.95,28.81,10.229,13.368,9.693,8.306,12.7,19.498,24.0,7.08
2015-08-20,195.07,16.81,25.73,14.73,18.62,14.174,16.84,17.008,20.13,25.39,3.87,12.993,5.6,10.042,19.46,15.21,7.3,7.6,7.68,14.553,11.53,9.931,14.28,7.005,10.266,42.08,9.718,4.071,17.9,8.33,19.27,45.99,4.618,13.61,15.89,7.13,25.357,48.8,21.78,6.909,9.699,27.81,11.061,58.766,35.42,19.0,16.87,3.236,26.916,50.914,23.72,28.82,21.25,8.542,24.36,15.16,10.15,16.741,6.62,11.64,10.84,5.01,11.449,7.354,34.13,36.11,6.45,18.795,5.196,10.36,7.263,3.627,15.81,24.7,7.613,19.49,8.86,9.495,5.8,15.029,5.369,4.15,34.72,2.906,10.51,7.7,16.86,21.26,16.57,55.18,7.228,19.3,7.062,13.599,15.86,9.34,28.81,9.371,12.644,9.062,8.306,11.43,17.55,21.6,6.8
2015-08-21,186.33,16.54,25.73,14.73,17.159,13.506,16.2,16.117,19.05,23.0,3.66,12.3,5.48,9.583,18.15,14.03,7.092,7.17,7.35,13.467,10.63,9.265,13.91,6.37,9.944,41.56,9.392,4.071,17.0,7.698,18.77,44.64,4.345,12.8,15.49,6.79,23.724,48.94,19.953,6.463,9.755,26.08,11.265,53.442,32.96,19.0,15.4,3.129,24.222,49.564,23.72,27.02,20.833,8.358,23.96,15.16,9.71,15.503,6.25,11.1,9.86,4.8,11.284,7.155,31.26,34.61,6.01,18.795,5.196,9.41,6.675,3.357,14.59,22.44,7.013,19.0,8.155,9.495,5.507,13.862,4.985,3.907,31.66,2.744,9.65,7.14,15.99,19.95,15.73,55.18,6.967,17.67,6.359,13.099,15.19,8.8,28.81,8.564,11.864,8.479,8.306,10.29,15.792,19.44,6.27
2015-08-24,169.64,14.98,25.73,14.73,15.443,12.251,14.58,14.525,17.15,20.7,3.29,11.071,4.99,8.625,16.34,12.63,6.6,6.45,6.62,12.12,9.57,8.339,13.19,5.735,9.0,37.407,8.456,4.071,15.39,6.929,16.91,40.18,3.909,11.52,13.94,6.11,21.352,44.05,17.956,5.817,8.781,23.6,10.878,48.096,29.85,19.0,13.86,2.814,21.798,44.607,23.72,24.32,18.75,7.592,21.56,15.16,8.74,13.951,5.63,9.99,8.87,4.32,10.156,6.44,28.13,31.15,5.41,18.795,5.196,8.47,6.009,3.693,13.13,20.2,6.313,17.1,7.34,9.495,5.507,12.478,4.485,3.514,28.49,2.469,8.76,6.43,14.39,17.98,14.16,55.18,6.272,15.9,5.724,11.789,13.67,7.92,28.81,7.707,10.676,7.631,8.306,9.26,14.216,17.5,5.64
2015-08-25,176.59,14.71,25.73,14.73,13.897,12.359,13.73,13.117,17.41,19.42,2.96,9.964,4.49,7.883,14.71,11.37,6.225,5.81,5.96,10.907,8.61,7.506,13.0,5.16,8.664,33.667,7.61,4.071,14.11,6.275,15.53,36.16,3.518,10.7,12.55,5.5,19.216,39.65,16.162,5.234,7.903,24.08,9.791,43.286,30.0,19.0,12.47,2.536,19.619,42.4,23.72,21.89,18.694,7.175,19.68,15.16,7.88,12.558,5.07,9.7,7.98,3.89,9.758,5.797,25.32,29.54,4.87,18.795,5.196,7.62,5.408,3.577,11.9,18.18,5.68,15.4,6.605,9.495,5.507,11.24,4.038,3.164,25.64,2.223,8.73,5.79,12.95,16.28,12.74,55.18,5.644,14.31,5.152,10.612,12.22,7.13,28.81,6.936,9.655,6.869,8.306,8.33,12.797,15.75,5.08
2015-08-26,183.88,16.09,25.73,14.73,13.548,13.225,14.56,13.575,18.45,19.66,2.89,10.05,4.57,8.258,14.5,11.28,6.475,5.9,5.58,11.067,8.81,7.205,13.25,5.065,9.105,32.08,7.216,4.071,15.02,6.5,16.26,32.54,3.445,11.17,11.64,5.16,18.579,35.69,14.546,5.339,7.112,25.04,8.811,44.876,31.52,19.0,11.97,2.3,17.659,44.35,23.72,22.47,19.164,7.592,20.38,15.16,7.85,11.302,5.0,10.02,7.27,3.82,9.818,5.606,22.79,30.14,4.66,18.795,5.196,6.9,5.192,3.9,12.38,16.36,5.12,15.9,6.89,9.495,5.507,11.346,4.0,3.107,24.72,2.194,9.04,5.57,13.04,16.72,11.91,55.18,5.078,12.88,5.241,9.553,11.6,6.84,28.81,6.486,9.738,6.872,8.306,7.5,11.515,15.5,4.68
2015-08-27,197.07,17.63,25.73,14.73,14.5,13.485,15.73,14.525,18.87,21.14,3.02,10.6,4.75,9.0,15.95,12.14,6.883,6.3,5.94,11.64,9.47,7.801,13.18,5.5,9.776,34.673,7.632,4.071,16.52,7.11,17.33,35.79,3.627,11.67,12.31,5.38,20.437,39.26,15.781,5.712,7.434,27.23,9.0,45.007,32.94,17.1,13.0,2.421,18.056,46.357,23.72,23.98,20.222,8.208,21.99,15.16,8.29,11.352,5.25,10.5,7.58,4.0,9.706,6.167,23.7,33.12,4.9,18.795,5.196,7.37,5.547,4.0,13.62,17.7,5.353,16.95,7.165,9.495,5.507,11.965,4.215,3.271,26.27,2.315,9.61,5.94,13.81,17.88,12.52,55.18,4.933,12.88,5.766,10.039,12.29,7.24,28.81,6.929,10.286,7.559,8.306,8.25,11.948,16.41,4.94
