Date,Close,Trade Signal
2016-02-01,508.0865173339844,0
2016-02-02,508.2047119140625,0
2016-02-03,504.1854553222656,0
2016-02-04,507.310791015625,1
2016-02-05,511.7438354492187,0
2016-02-08,506.7640380859375,0
2016-02-09,502.1315002441406,0
2016-02-10,506.16558837890625,0
2016-02-11,501.2522888183594,0
2016-02-12,500.03314208984375,0
2016-02-15,513.1106567382812,0
2016-02-16,508.4854736328125,0
2016-02-17,510.6576843261719,0
2016-02-18,509.5791015625,0
2016-02-19,506.49066162109375,0
2016-02-22,514.6622314453125,0
2016-02-23,503.5648193359375,0
2016-02-24,497.654052734375,0
2016-02-25,487.84967041015625,-1
2016-02-26,487.72406005859375,0
2016-02-29,491.72119140625,0
2016-03-01,506.084228515625,0
2016-03-02,510.022216796875,1
2016-03-03,516.73828125,0
2016-03-04,519.4498291015625,0
2016-03-08,521.5260620117188,0
2016-03-09,536.6796875,0
2016-03-10,532.1875,0
2016-03-11,529.37255859375,0
2016-03-14,530.0892333984375,0
2016-03-15,524.6587524414062,0
2016-03-16,529.20263671875,0
2016-03-17,537.1525268554688,0
2016-03-18,540.3812866210938,0
2016-03-21,551.8036499023438,0
2016-03-22,554.012939453125,0
2016-03-23,558.7120361328125,0
2016-03-28,559.524658203125,0
2016-03-29,556.6431884765625,0
2016-03-30,567.2308349609375,0
2016-03-31,568.04345703125,0
2016-04-01,569.3216552734375,0
2016-04-04,573.074951171875,0
2016-04-05,566.7431640625,0
2016-04-06,578.1582641601562,0
2016-04-07,577.7592163085938,0
2016-04-08,588.4946899414062,0
2016-04-11,592.1001586914062,0
2016-04-12,597.2720947265625,0
2016-04-13,601.9415893554688,0
2016-04-18,604.4683837890625,0
2016-04-20,604.8230590820312,0
2016-04-21,591.4425659179688,0
2016-04-22,592.994140625,0
2016-04-25,596.7918090820312,-1
2016-04-26,603.9732666015625,0
2016-04-27,610.489990234375,0
2016-04-28,608.4655151367188,0
2016-04-29,603.89208984375,0
2016-05-02,601.5277099609375,0
2016-05-03,612.1227416992188,0
2016-05-04,612.3812866210938,0
2016-05-05,608.1035766601562,0
2016-05-06,607.6306762695312,0
2016-05-09,610.8963623046875,0
2016-05-10,622.9616088867188,0
2016-05-11,630.1578369140625,0
2016-05-12,629.3304443359375,1
2016-05-13,628.27392578125,0
2016-05-16,630.6087036132812,0
2016-05-17,632.810302734375,0
2016-05-18,630.3276977539062,-1
2016-05-19,628.3478393554688,0
2016-05-20,621.6243286132812,0
2016-05-23,622.2744750976562,0
2016-05-24,633.9777221679688,0
2016-05-25,641.82421875,0
2016-05-26,639.9845581054688,0
2016-05-27,644.4544677734375,0
2016-05-30,643.05078125,0
2016-05-31,643.819091796875,0
2016-06-01,643.6787109375,0
2016-06-02,641.5213012695312,0
2016-06-03,638.17431640625,0
2016-06-06,638.1596069335938,0
2016-06-07,639.385986328125,0
2016-06-08,640.1470336914062,0
2016-06-09,636.1055908203125,0
2016-06-10,637.0586547851562,0
2016-06-13,637.1621704101562,0
2016-06-14,631.2218627929688,0
2016-06-15,637.7088623046875,0
2016-06-16,633.8446655273438,0
2016-06-17,639.3047485351562,0
2016-06-20,638.484619140625,0
2016-06-21,636.65966796875,0
2016-06-22,631.9901733398438,0
2016-06-23,635.3593139648438,0
2016-06-24,634.103271484375,0
2016-06-27,645.52587890625,0
2016-06-28,658.8988037109375,1
2016-06-29,661.0635986328125,0
2016-06-30,689.4351806640625,0
2016-07-01,686.1251220703125,0
2016-07-04,676.7639770507812,0
2016-07-05,670.5503540039062,0
2016-07-07,672.4049072265625,0
2016-07-08,670.9935913085938,0
2016-07-11,674.4367065429688,0
2016-07-12,685.578369140625,0
2016-07-13,683.945556640625,0
2016-07-14,703.4878540039062,0
2016-07-15,712.4796142578125,0
2016-07-18,708.9331665039062,0
2016-07-19,703.3845825195312,0
2016-07-20,715.4349975585938,0
2016-07-21,724.241943359375,0
2016-07-22,722.7346801757812,0
2016-07-25,718.3016967773438,0
2016-07-26,717.6293334960938,0
2016-07-27,719.6464233398438,0
2016-07-28,714.8511962890625,0
2016-07-29,723.2520141601562,-1
2016-08-01,737.0831298828125,1
2016-08-02,737.6002807617188,0
2016-08-03,734.1720581054688,0
2016-08-04,738.1764526367188,0
2016-08-05,778.0665283203125,0
2016-08-08,781.1180419921875,0
2016-08-09,766.378173828125,0
2016-08-10,715.7157592773438,-1
2016-08-11,670.80908203125,0
2016-08-12,674.052490234375,0
2016-08-16,662.6817626953125,0
2016-08-17,667.934814453125,0
2016-08-18,683.7239379882812,0
2016-08-19,684.558837890625,0
2016-08-22,665.2898559570312,0
2016-08-23,668.8880004882812,0
2016-08-24,675.7665405273438,0
2016-08-25,669.1466064453125,0
2016-08-26,669.900146484375,0
2016-08-29,668.4816284179688,0
2016-08-30,692.0284423828125,0
2016-08-31,690.0410766601562,0
2016-09-01,680.288330078125,0
2016-09-02,681.6699829101562,0
2016-09-06,694.784423828125,1
2016-09-07,690.7398071289062,0
2016-09-08,710.12109375,0
2016-09-09,699.8171997070312,0
2016-09-12,689.1190795898438,0
2016-09-14,701.4303588867188,0
2016-09-15,702.9990234375,0
2016-09-16,721.6295166015625,0
2016-09-19,722.38037109375,0
2016-09-20,725.138427734375,0
2016-09-21,723.9044189453125,0
2016-09-22,732.6322631835938,0
2016-09-23,728.4839477539062,0
2016-09-26,720.4994506835938,0
2016-09-27,717.9940795898438,0
2016-09-28,725.7703857421875,0
2016-09-29,699.9584350585938,-1
2016-09-30,719.1316528320312,0
2016-10-03,728.5953979492188,1
2016-10-04,731.137939453125,0
2016-10-05,733.55419921875,0
2016-10-06,750.2739868164062,0
2016-10-07,761.983154296875,0
2016-10-10,754.3629760742188,0
2016-10-13,738.8251342773438,0
2016-10-14,739.8287963867188,0
2016-10-17,721.540283203125,-1
2016-10-18,727.8222045898438,0
2016-10-19,730.572998046875,0
2016-10-20,731.6138916015625,0
2016-10-21,722.3951416015625,0
2016-10-24,722.6553955078125,0
2016-10-25,723.324462890625,0
2016-10-26,722.6553955078125,0
2016-10-27,712.6190795898438,0
2016-10-28,717.63720703125,0
2016-11-01,715.5184326171875,0
2016-11-02,695.7431030273438,0
2016-11-03,676.3023681640625,0
2016-11-04,669.3511352539062,0
2016-11-07,682.9188232421875,0
2016-11-08,677.0457763671875,0
2016-11-09,666.0057373046875,0
2016-11-10,684.1827392578125,0
2016-11-11,668.3475341796875,0
2016-11-15,609.0958862304688,0
2016-11-16,607.2001342773438,0
2016-11-17,609.4674682617188,0
2016-11-18,608.575439453125,0
2016-11-21,585.41748046875,0
2016-11-22,598.7992553710938,0
2016-11-23,603.8546142578125,0
2016-11-24,602.3677368164062,0
2016-11-25,611.9208984375,0
2016-11-28,624.5221557617188,0
2016-11-29,631.47314453125,1
2016-11-30,647.010986328125,0
2016-12-01,648.9810180664062,0
2016-12-02,648.8695068359375,0
2016-12-05,648.2376708984375,0
2016-12-06,649.8732299804688,0
2016-12-07,651.6203002929688,0
2016-12-08,664.8533935546875,0
2016-12-09,652.9955444335938,0
2016-12-12,640.6544799804688,0
2016-12-13,632.328125,0
2016-12-14,632.5883178710938,0
2016-12-15,618.0913696289062,0
2016-12-16,607.7576904296875,-1
2016-12-19,612.7014770507812,0
2016-12-20,616.1956787109375,0
2016-12-21,616.121337890625,0
2016-12-22,608.6126708984375,0
2016-12-23,615.97265625,0
2016-12-26,605.7875366210938,0
2016-12-27,603.2227172851562,0
2016-12-28,602.9996337890625,0
2016-12-29,627.0869140625,1
2016-12-30,641.3980712890625,0
2017-01-02,649.2412719726562,0
2017-01-03,646.1187133789062,0
2017-01-04,644.5576782226562,0
2017-01-05,643.6654663085938,0
2017-01-06,635.822265625,0
2017-01-09,638.312744140625,0
2017-01-10,630.6182861328125,0
2017-01-11,637.7922973632812,0
2017-01-12,636.0452270507812,0
2017-01-13,628.982666015625,0
2017-01-16,635.4506225585938,0
2017-01-17,628.53662109375,0
2017-01-18,643.1450805664062,0
2017-01-19,642.9219970703125,0
2017-01-20,641.806884765625,0
2017-01-23,656.9730224609375,0
2017-01-24,677.5289306640625,0
2017-01-25,689.9813842773438,0
2017-01-27,692.2861938476562,0
2017-01-30,720.7968139648438,0
2017-01-31,676.9342041015625,0
2017-02-01,698.6053466796875,0
2017-02-02,707.9354248046875,0
2017-02-03,702.0250244140625,0
2017-02-06,702.6570434570312,0
2017-02-07,706.52294921875,0
2017-02-08,725.666259765625,0
2017-02-09,724.58837890625,0
2017-02-10,751.6865234375,0
2017-02-13,743.657470703125,0
2017-02-14,751.6121215820312,0
2017-02-15,748.3411254882812,0
2017-02-16,763.5442504882812,0
2017-02-17,773.6177978515625,0
2017-02-20,784.5835571289062,0
2017-02-21,794.2109375,0
2017-02-22,778.74755859375,0
2017-02-23,761.9459838867188,0
2017-02-27,757.0763549804688,-1
2017-02-28,736.1488037109375,0
2017-03-01,747.6719970703125,0
2017-03-02,739.7916259765625,0
2017-03-03,759.0465087890625,0
2017-03-06,746.4824829101562,0
2017-03-07,747.9693603515625,0
2017-03-08,745.0327758789062,0
2017-03-09,750.4970703125,0
2017-03-10,742.7281494140625,0
2017-03-14,768.6368408203125,0
2017-03-15,779.5282592773438,0
2017-03-16,781.0150756835938,0
2017-03-17,774.2125854492188,0
2017-03-20,789.8618774414062,1
2017-03-21,811.8303833007812,0
2017-03-22,802.9834594726562,0
2017-03-23,811.756103515625,0
2017-03-24,786.7766723632812,0
2017-03-27,789.8247680664062,0
2017-03-28,792.2780151367188,-1
