Date,Close Price,Trading Signal
2022-10-18,2254.538818359375,-1.0
2022-10-19,2293.766357421875,-1.0
2022-10-20,2299.9287109375,-1.0
2022-10-21,2273.255615234375,-1.0
2022-10-24,2280.84375,1.0
2022-10-25,2245.6171875,1.0
2022-10-27,2254.447021484375,1.0
2022-10-28,2323.428466796875,1.0
2022-10-31,2344.996337890625,-1.0
2022-11-01,2326.831298828125,-1.0
2022-11-02,2341.36328125,1.0
2022-11-03,2350.10107421875,1.0
2022-11-04,2384.68359375,1.0
2022-11-07,2397.422119140625,-1.0
2022-11-09,2395.031005859375,-1.0
2022-11-10,2366.058837890625,1.0
2022-11-11,2420.60009765625,1.0
2022-11-14,2408.873046875,-1.0
2022-11-15,2398.066162109375,1.0
2022-11-16,2384.31591796875,1.0
2022-11-17,2390.47802734375,1.0
2022-11-18,2389.1904296875,1.0
2022-11-21,2346.192138671875,1.0
2022-11-22,2359.20654296875,1.0
2022-11-23,2351.848388671875,1.0
2022-11-24,2372.129150390625,1.0
2022-11-25,2407.53955078125,-1.0
2022-11-28,2490.271240234375,-1.0
2022-11-29,2494.5478515625,-1.0
2022-11-30,2512.1611328125,-1.0
2022-12-01,2504.757080078125,-1.0
2022-12-02,2503.69921875,-1.0
2022-12-05,2467.185302734375,-1.0
2022-12-06,2474.313232421875,-1.0
2022-12-07,2437.79931640625,-1.0
2022-12-08,2436.6494140625,1.0
2022-12-09,2399.7216796875,1.0
2022-12-12,2403.400390625,1.0
2022-12-13,2414.345703125,-1.0
2022-12-14,2405.60791015625,-1.0
2022-12-15,2371.439208984375,-1.0
2022-12-16,2359.71240234375,-1.0
2022-12-19,2390.7080078125,-1.0
2022-12-20,2411.402587890625,-1.0
2022-12-21,2377.095703125,-1.0
2022-12-22,2370.933349609375,-1.0
2022-12-23,2301.400146484375,-1.0
2022-12-26,2321.49658203125,1.0
2022-12-27,2340.48974609375,-1.0
2022-12-28,2340.259765625,-1.0
2022-12-29,2339.201904296875,-1.0
2022-12-30,2342.788818359375,-1.0
2023-01-02,2369.185791015625,-1.0
2023-01-03,2351.848388671875,-1.0
2023-01-04,2316.438232421875,-1.0
2023-01-05,2312.29931640625,1.0
2023-01-06,2333.3154296875,1.0
2023-01-09,2388.408447265625,-1.0
2023-01-10,2353.090087890625,-1.0
2023-01-11,2323.428466796875,1.0
2023-01-12,2273.255615234375,1.0
2023-01-13,2269.576904296875,1.0
2023-01-16,2247.962646484375,1.0
2023-01-17,2279.878173828125,1.0
2023-01-18,2276.10693359375,-1.0
2023-01-19,2273.669921875,1.0
2023-01-20,2246.629150390625,1.0
2023-01-23,2235.27001953125,1.0
2023-01-24,2222.07177734375,1.0
2023-01-25,2191.35205078125,1.0
2023-01-27,2149.779296875,1.0
2023-01-30,2170.3818359375,1.0
2023-01-31,2164.955078125,1.0
2023-02-01,2152.124755859375,1.0
2023-02-02,2140.2138671875,1.0
2023-02-03,2142.099365234375,1.0
2023-02-06,2125.957763671875,1.0
2023-02-07,2120.853271484375,1.0
2023-02-08,2163.207763671875,1.0
2023-02-09,2166.978515625,-1.0
2023-02-10,2149.135498046875,-1.0
2023-02-13,2136.90283203125,1.0
2023-02-14,2187.25927734375,1.0
2023-02-15,2236.78759765625,-1.0
2023-02-16,2235.0400390625,-1.0
2023-02-17,2244.37548828125,-1.0
2023-02-20,2220.646240234375,-1.0
2023-02-21,2238.765380859375,1.0
2023-02-22,2187.994873046875,-1.0
2023-02-23,2177.509765625,1.0
2023-02-24,2192.40966796875,1.0
2023-02-27,2177.83154296875,1.0
2023-02-28,2136.1669921875,1.0
2023-03-01,2155.8037109375,1.0
2023-03-02,2139.385986328125,1.0
2023-03-03,2193.973388671875,1.0
2023-03-06,2215.403564453125,-1.0
2023-03-08,2223.359375,-1.0
2023-03-09,2169.921875,-1.0
2023-03-10,2136.304931640625,1.0
2023-03-13,2101.17041015625,1.0
2023-03-14,2093.306640625,1.0
2023-03-15,2057.5283203125,1.0
2023-03-16,2047.27294921875,1.0
2023-03-17,2044.6978759765625,1.0
