Date,RIO LN Equity,OR FP Equity,AAL LN Equity,CAT UN Equity,SYBX UR Equity,JPM UN Equity,CVX UN Equity,KO UN Equity,GE UN Equity,AMT UN Equity,7267 JT Equity,HPQ UN Equity,BBVA SQ Equity,AMZN UW Equity,ASML NA Equity,SAN SQ Equity,6752 JT Equity,IBM UN Equity,PHIA NA Equity,JNJ UN Equity,6758 JT Equity,MCD UN Equity,8306 JT Equity,TEF SQ Equity,MRK UN Equity,TTE FP Equity,MMM UN Equity,CS FP Equity,PFE UN Equity,PG UN Equity,GOOG UW Equity,RTX UN Equity,WMT UN Equity,005930 KP Equity,SGO FP Equity,5108 JT Equity,INTC UW Equity,7751 JT Equity,MSFT UW Equity,3382 JT Equity,NVDA UW Equity,MC FP Equity,C UN Equity,GS UN Equity,NG/ LN Equity,ABT UN Equity,TXN UW Equity,TMO UN Equity,GOOGL UW Equity,SHEL LN Equity,JCI UN Equity,ULVR LN Equity,INGA NA Equity,GSK LN Equity,PM UN Equity,700 HK Equity,BMY UN Equity,ABBN SE Equity,AAPL UW Equity,AZN LN Equity,MA UN Equity,AVGO UW Equity,NESN SE Equity,CL UN Equity,NOVN SE Equity,ROG SE Equity,SREN SE Equity,UBSG SE Equity,DGE LN Equity,ENGI FP Equity,HSBA LN Equity,AON UN Equity,BHP AT Equity,EMR UN Equity,VOD LN Equity,F UN Equity,BARC LN Equity,SAN FP Equity,STAN LN Equity,PEP UW Equity,SU FP Equity,ALV GY Equity,RWE GY Equity,KMB UN Equity,MS UN Equity,BAYN GY Equity,DBK GY Equity,BAS GY Equity,LLY UN Equity,SIE GY Equity,EOAN GY Equity,HON UW Equity,MMC UN Equity,MUV2 GY Equity,BP/ LN Equity,DTE GY Equity,MBG GY Equity,NKE UN Equity,7203 JT Equity,PRU LN Equity,DD UN Equity,RO SE Equity
11-05-2021,6541,346.4,3378.716,239.3,50.6997,158.54,106.7,54.32,81.7173,247.32,1110.7,33.59,4.909,161.195,514.7,3.25,1215.5,137.7538,43.5787,168.88,10400,233.86,597.5,3.949,73.8601,38.42,203.72,22.57,39.35,136.99,115.438,84.33,139.55,81200,54.88,4569,55.04,2599.5,246.23,4648,143.0625,612.3,74.87,359.92,914.3,118.39,183.2,464,113.503,1367.6,64.13,4220.5,10.756,1345.615,97.29,538.825,64.26,28.927,125.91,7632,367.61,440.07,108.24,82.44,78.92,298.75,86.5,13.625,3190,12.184,440,254.12,45.6601,95.26,138.9,11.58,180,84.6885,508,145.65,129.02,210.9,30.8,134.21,84.92,53.43,11.328,69.25,194.75,139.74,10.602,229.16,134.77,240.45,304.6,16.35,60.743,137.12,1668.2,1514.486,82.83,316.8
12-05-2021,6575,346.3,3385.185,237.32,48.8998,157.45,107.37,54.04,80.0318,241.96,1095.3,31.95,4.903,157.597,503.7,3.2875,1215.5,134.9647,43.3442,168.2,10300,227.94,595.9,3.936,74.375,39.3,198.87,22.695,39.69,135.54,111.954,82.28,135.94,80000,54.98,4602,53.62,2555,239,4592,137.585,610.2,74.23,354.4,919.7,116.35,176.6,454.78,110.013,1413,63.07,4244.5,10.802,1363.419,96.2,551.731,64.53,28.8595,122.77,7786,356.62,422.38,108.42,82.05,80.05,301.05,87.16,13.8,3298.5,12.246,443.9,249.72,45.4108,93.35,140.14,11.33,181.46,85.5339,509.2,144.23,127.86,213.5,30.68,132.98,83.68,57.3,11.594,69.13,193.2,139.26,10.5,220.04,132.79,240.6,315.3,16.712,61.246,133.39,1704.6,1519.968,80.31,322
13-05-2021,6304,350.15,3235.385,240.07,47.3998,161.5,106.68,54.51,80.9682,244,1098,32.39,4.892,158.074,512.7,3.264,1206.5,137.706,43.9089,169.96,9989,229.77,599.2,3.918,75.033,38.81,203.41,22.56,40.1,137.72,113.098,83.78,138.24,78500,54.74,4613,54.01,2478,243.03,4820,136.6525,616,75.29,358.81,924,117.45,178.99,456.92,111.452,1382.4,64.31,4276.5,10.606,1369.084,97.55,534.676,65.04,28.8595,124.97,7852,360.02,430.6,108.42,83.26,80.05,301.05,87.16,13.8,3303.5,12.406,443.75,252,44.832,94.71,139.46,11.55,178.2,86.1306,507.4,146.37,127.88,215.2,31.41,133.75,84.86,57.08,11.588,68.91,194.94,140.32,10.582,223.68,134.59,239.3,308.4,16.618,60.667,133.61,1678.4,1470.631,81.62,322
14-05-2021,6135,352.35,3251.311,242.23,51.8997,164.01,109.47,54.73,82.7786,246.76,1109,32.92,5.028,161.145,528,3.353,1215.5,138.1931,44.2871,170.22,10225,231.72,607.7,4.011,74.6516,39.75,204.38,22.875,40.02,138.01,115.808,85.88,139.52,80100,55.61,4632,55.35,2526,248.15,4942,142.43,628.1,76.56,368.77,936.1,118.31,183.27,459.07,113.919,1419,65.55,4294,10.86,1386.281,97.7,537.442,64.88,29.6215,127.45,7864,363.91,441.62,108.84,83.56,80.49,303.45,88.12,13.89,3353.5,12.684,448.8,254.24,44.1375,95.84,140.72,11.84,180.7,86.25,507,146.59,131.44,217.3,32.09,134.18,87.35,57.06,11.776,69.13,196.21,144.48,10.592,227.36,134.56,242.7,313.65,16.812,62.077,135.93,1695.6,1509.502,83.24,326
17-05-2021,6275,355.45,3282.167,244.79,53.8497,164.67,110.81,54.64,82.0919,245.89,1079.3,33.04,5.008,163.52,518.8,3.331,1209,138.6038,44.6221,170.39,10330,231.68,612.5,4.15,76.1581,39.81,205.11,22.815,40.11,137.73,116.071,86.57,138.89,79600,54.7,4657,55.33,2516.5,245.18,4790,141.655,624,77.42,369.25,931.1,116.74,180.83,452.92,114.446,1426.4,65.91,4310.5,10.922,1395.588,97.55,553.574,65.46,29.3514,126.27,7895,363.3,439.94,109.62,83.55,80.15,304.7,87.88,13.975,3361,12.716,443.4,255.2,44.1642,95.52,141.7,12.15,179.22,87.165,498.2,146.17,130.36,217.65,31.94,133.63,88.09,56.77,11.692,69.16,195.53,141.42,10.55,226.47,134.49,241.9,315.4,17.272,62.388,136.41,1729.6,1490.565,85.3,329.8
18-05-2021,6250,351.95,3294.609,239.47,55.6497,162.35,106.18,54.34,80.9682,246.35,1115.3,32.34,5.125,161.614,522.9,3.3705,1196.5,137.4577,44.3493,170.45,10320,231.93,626.6,4.1465,75.6909,39.695,203.03,22.645,40.05,136.32,115.172,85.38,141.91,79600,54.56,4734,54.84,2542,243.08,4906,140.1575,623,76.62,364.56,929.5,116.98,178.87,454.61,113.124,1420.2,63.83,4279,11.054,1391.744,97.69,560.027,65.6,29.3514,124.85,7930,363.07,433.74,109.42,83.11,79.72,306.45,87.56,14.035,3349,13.1,446.7,254.21,44.9834,94.22,129.08,12.14,180.26,86.7572,505.6,145.51,130.06,217.4,32.12,132.94,86.97,56.32,11.764,68.97,194.63,139.02,10.56,222.32,133.79,241.05,316.8,17.068,62.782,135.56,1763.8,1495.05,85.11,330.2
19-05-2021,6039,350.15,3139.334,236.87,56.8497,161.11,103.2,54.17,81.7173,246.04,1103,31.8,4.9955,161.59,509,3.2925,1190,136.7699,43.6266,170.08,10420,230.15,634.4,4.162,75.6718,38.385,202.6,22.295,39.83,136.6,115.436,85.21,141.92,79600,53.5,4808,55.36,2532,243.12,4900,140.6575,619.1,76.46,358.38,930.6,116.38,181.72,456.95,113.575,1380.6,63.25,4281.5,10.846,1382.64,96.31,560.027,65.55,28.4833,124.69,7954,360.98,441.72,109.34,83.21,79.06,304.45,85.62,13.91,3347,13.122,443.3,252.23,43.443,93.32,126.4,12.11,178.08,86.3295,501.6,145.43,126.22,213.75,31.78,132.58,86.05,55.67,11.62,67.24,196.51,133.68,10.484,221.32,134.24,235.85,308.35,16.592,60.827,132.96,1739.8,1471.129,84.24,330.2
20-05-2021,6028,358.85,3139.832,234.99,58.1997,160.83,103.56,54.65,81.53,250.82,1097.3,32.04,5.003,162.384,524.9,3.318,1189,137.429,44.4929,171.07,10475,232.18,631.9,4.139,75.9579,38.545,201.65,22.375,40.12,138,117.805,85.23,142.42,79500,54.47,4843,55.95,2551,246.48,4818,146.125,628.9,76.2,359.78,950.9,117.8,185.3,465.29,115.348,1385,64.23,4296.5,10.922,1375.761,97.42,561.41,67,28.7727,127.31,8131,367.7,455,110.44,84.09,79.17,308,85.6,14.115,3402.5,13.064,445.95,254.65,42.9888,93.44,127.88,12.49,178.88,87.6225,504,147.23,128.46,214.95,32.45,132.68,86.47,55.72,11.75,67.64,199.53,134.86,10.154,222.13,135.71,237.95,310.3,17.008,63.076,133.27,1733,1488.571,84.08,334.4
21-05-2021,5994,361.3,3128.385,237.24,61.3497,162.66,104.12,54.62,82.5913,249.95,1103,31.66,5.121,160.154,525.4,3.3695,1176.5,138.2504,44.8614,170.96,10525,231.24,620.5,4.1805,75.5002,39,201.86,22.545,39.95,138,117.255,85.81,141.75,80100,55.08,4773,56.08,2556.5,245.17,4868,149.9175,631.6,77.65,366.26,945.4,117.13,185.01,462.34,114.707,1398.8,64.5,4277.5,11.074,1370.703,97.42,542.512,67.05,29.0814,125.43,8135,367.6,451.24,110.54,84.23,79.3,310.8,85.78,14.26,3377.5,13.144,444.45,253.21,42.5169,93.65,127.48,13.33,179.02,87.7518,507,147.1,129.48,216.5,32.62,132.35,88.34,55.99,12.026,67.84,199.88,135.86,10.184,223.2,136.18,239.95,312.2,17.17,63.404,132.66,1748.6,1492.558,84.12,336.6
24-05-2021,5992,364.7,3142.818,239.05,58.6497,163.54,105.6,54.8,82.2792,252.78,1119.7,32.31,5.1,162.249,536.4,3.3585,1182.5,138.2313,44.871,170.55,10510,231.91,630.2,4.165,75.3572,39.04,202.61,22.52,39.81,137.96,120.334,86.48,141.76,79700,55.14,4769,56.96,2607,250.78,4886,156.12,637.5,78.03,368.29,950.3,117.29,188.69,462.46,118.052,1408.6,64.74,4270.5,11.114,1370.298,98.16,539.746,67.29,29.0814,127.1,8150,372.38,459.19,110.54,84.4,79.3,310.8,85.78,14.26,3390,12.642,446.55,253.18,41.7334,94.01,129.38,13.06,179.68,87.7021,506,147.85,129.26,216.5,32.62,132.12,89.69,55.99,12.026,67.84,201.02,135.86,10.184,225,136.43,239.95,316.4,17.17,63.404,134.06,1767,1501.03,85.26,336.6
25-05-2021,5905,367.2,3068.664,237.17,58.0497,161.85,103.87,54.79,81.9046,253.37,1110,31.86,5.11,162.953,547.3,3.3745,1214,137.343,44.7226,170.08,10755,232.14,633,4.1265,73.8983,38.33,201.71,22.29,39.33,138.43,120.454,86.26,142.34,79900,55.03,4795,56.87,2586.5,251.72,4857,156.4775,639.7,77.28,364.51,947,118.4,188.7,464.02,118.143,1374,64.94,4306.5,11.102,1367.668,97.52,562.332,66.76,29.1103,126.9,8083,367.22,459.54,111.62,84.59,79.45,312.3,85.82,14.4,3397.5,12.588,449.95,252.31,42.2765,93.41,127.9,12.81,179.64,87.4634,508,148.3,129,215.35,32.28,132.1,88.86,55.26,12.27,67.11,199.22,135.38,10.06,224.04,136.6,236.4,310.05,17.17,64.335,134.32,1775.4,1510.499,83.4,338.6
26-05-2021,5914,366.45,3054.231,237.71,58.1997,161.83,104.12,55.03,83.6526,254.46,1099,32.17,5.084,163.258,541.9,3.3545,1257.5,136.9514,44.6604,169.07,10700,232.35,625.3,4.137,73.6408,38.47,201.58,22.22,38.92,138.12,121.677,86.5,142.17,79800,54.94,4788,56.92,2573.5,251.49,4888,157,640.6,77.52,367.4,956.1,116.75,188.36,459.69,119.016,1378.4,65.94,4303.5,11.06,1368.882,97.31,569.707,66.13,29.0814,126.85,8020,362.65,460.49,111.78,84.43,79.99,313.2,85.74,14.21,3409.5,12.508,446.85,251.09,41.2704,93.31,126.98,13.9,179.26,88.1795,498,148.3,129.04,214.1,32.01,131.03,89.35,54.97,12.128,66.75,200.99,134.7,10.098,224.27,136.5,233.7,310.7,17.092,65.091,136.89,1781.2,1488.571,83.55,340.4
27-05-2021,6074,365.9,3122.911,241.28,57.8997,164.35,103.01,55.49,89.5831,254.11,1115.7,32.1,5.143,161.506,544,3.4475,1241.5,137.3717,43.593,168.81,10800,234.86,619.4,4.0445,72.3917,38.045,203.24,22.445,38.65,134.98,120.126,88.61,141.69,79600,54.6,4755,57.73,2588.5,249.31,4749,154.88,648.4,78.76,371.37,943.3,115.69,189.13,472.48,118.134,1351.6,66.22,4190,11.4,1355.529,96.68,558.183,65.71,29.4575,125.28,8100,362,467.68,110.6,83.69,79.55,313.15,86.7,14.48,3386,12.258,450.2,253.88,41.671,95.45,128.38,14.88,183.7,86.3992,506.6,146.51,129.4,215.35,31.12,132.86,90.3,52.2,12.25,66.37,199.2,130.02,9.906,231.27,137.28,233.3,306.55,17.014,65.368,136.56,1796,1495.05,84.72,339.4
28-05-2021,6064,371.55,3120.422,241.08,56.0997,164.24,103.79,55.29,87.7728,255.46,1156,29.23,5.126,161.154,552.3,3.4505,1256.5,137.2953,44.3636,169.25,10970,233.89,631.3,4.0325,72.3631,38.145,203.04,22.805,38.73,134.85,120.578,88.71,142.03,80100,55.14,4891,57.12,2622.5,249.68,4849,162.445,655.8,78.71,372.02,939.2,116.65,189.82,469.5,117.843,1345.6,66.54,4226.5,11.416,1359.778,96.43,554.496,65.72,29.5926,124.61,8046,360.58,472.33,111.12,83.78,79.6,315.6,87.08,14.695,3404,12.266,455.3,253.37,42.882,95.69,128.3,14.53,183.1,87.4833,507.8,147.94,130.62,217.75,31.19,130.63,90.95,52.24,12.348,67.15,199.74,134.9,9.98,230.91,138.35,236.1,306.15,17.084,64.335,136.46,1827,1496.047,84.59,340.2
31-05-2021,6064,368.3,3120.422,241.08,56.0997,164.24,103.79,55.29,87.7728,255.46,1117.7,29.23,5.136,161.154,547.2,3.424,1247,137.2953,44.0573,169.25,10785,233.89,620,4.02,72.3631,37.905,203.04,22.58,38.73,134.85,120.578,88.71,142.03,80500,54.82,4806,57.12,2560,249.68,4736,162.445,652,78.71,372.02,939.2,116.65,189.82,469.5,117.843,1345.6,66.54,4226.5,11.34,1359.778,96.43,570.629,65.72,29.5829,124.61,8046,360.58,472.33,110.7,83.78,78.92,312.7,86.4,14.585,3404,12.15,455.3,253.37,42.606,95.69,128.3,14.53,183.1,86.4986,507.8,147.94,129.4,215.45,30.85,130.63,90.95,51.48,12.192,66.66,199.74,132.64,9.887,230.91,138.35,236.15,306.15,16.994,63.941,136.46,1823,1496.047,84.59,337
01-06-2021,6305,370,3246.334,242.76,54.7497,166.05,106.65,55.28,88.3346,258.57,1121.7,29.86,5.226,160.933,551.1,3.478,1251.5,137.7251,44.1818,165.53,10830,233.24,625.3,3.8655,71.6861,38.82,203.2,22.79,38.5,132.88,121.491,88.99,141.66,80600,55.81,4842,56.89,2549,247.4,4683,162.645,657.1,79.76,382.44,950.1,105.79,189,447.01,119.059,1374.6,67.03,4240,11.642,1353.303,96.78,578.925,65.1,29.9495,124.28,7957,359.79,468.31,110.78,82.48,79.3,312.6,87.02,14.795,3407,12.282,446.3,253.24,42.6594,97.1,128.26,14.81,185.58,85.3946,502.4,147.63,130.44,217,31.1,130.01,92.11,51.47,12.454,67.95,198.42,135.04,9.961,232.95,138.81,237.55,314.75,17.176,65.578,134.51,1884.6,1491.063,85.43,336.6
02-06-2021,6305,371.6,3280.176,243.46,53.6997,166.06,108.08,55.5,87.96,262.93,1172.7,29.78,5.249,161.7,555.1,3.475,1260,139.1865,43.751,166.2,10805,233.78,633.7,3.837,72.344,39.69,203.29,22.85,38.79,133.46,121.064,88.63,141.35,80800,55.38,4921,57.48,2552,247.3,4852,167.7825,661,79.86,383.44,960.6,106.9,190.75,449.21,118.53,1401.8,66.39,4250,11.614,1355.327,96.81,579.386,64.69,30.1906,125.06,7932,366.85,473.73,111.52,82.88,80.05,312.45,86.56,14.755,3419.5,12.338,451.7,252.95,43.9772,97.48,127.72,14.91,186.44,85.0465,505,148.22,131.5,217.15,30.69,130.74,92.76,52.04,12.452,68.13,199.13,136.38,9.933,230.74,139.33,236.7,321.75,17.246,66.09,134.17,1925.6,1508.007,84.63,336.2
