Date,OR FP Equity,DG FP Equity,STLAP FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,EDEN FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ENGI FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,LR FP Equity,URW FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity,WLN FP Equity
05-05-2015,166.7,53.76,#N/A N/A,47.675,84.9244,13.636,22.275,25.36,55.04,63.68,78.11,30.4,40.395,106.95,154.65,24.785,24.015,153.89,73.08,92.01,63.98,54.1,66.88,335.2,17.775,14.205,22.5281,36.335,25.7777,17.5286,89.552,44.765,67,59.9,50.77,240.4,13.545,110.85,6.792,19.61
06-05-2015,167.75,53.3,#N/A N/A,47.845,85.4366,13.49,22.54,25.14,56.03,63.93,77.52,30.485,40.405,107.3,154.25,24.915,23.995,149.98,72.3,91.99,63.91,53.33,65.9,331,17.985,14.43,22.2676,36.8,26.2089,17.3985,89.9498,43.75,67.64,60.28,50.75,234.05,13.62,109.9,6.888,19.5
07-05-2015,168.6,52.75,#N/A N/A,46.765,85.1073,13.58,23.18,25.03,56.35,62.14,78.9,30.365,40.135,106.8,155.9,25.0625,23.995,150.12,72.83,92.96,65.09,53.5,66.84,331.95,17.945,14.47,21.7023,36.305,25.6015,17.5576,89.4028,43.3,66.91,60.36,49.835,234.25,13.685,109.55,6.94,19.2
08-05-2015,173.45,53.67,#N/A N/A,48,88.254,13.8,23.445,26.01,57.41,63.89,80.71,30.76,41.415,111.55,160.8,25.525,24.135,152.4,74.74,94.78,67.25,54.7,68.15,337.45,18.525,14.77,21.8698,36.795,25.9956,17.8709,91.193,44.075,68.49,63.4,50.73,243.7,13.925,111.3,7,19.14
11-05-2015,170.15,53.1,#N/A N/A,47.515,86.9734,13.822,22.325,26.66,56.86,62.91,80.5,30.845,41.25,109.75,158.35,25.175,24.365,152.54,75.03,95.4,66.55,54.32,67.77,337.1,18.4,14.49,22.1001,36.855,26.1208,17.9914,88.448,44.145,68,62.09,50.27,241.05,13.905,110.45,7.042,19.18
12-05-2015,168.25,52.67,#N/A N/A,46.98,85.7293,13.804,22.165,26.145,56.11,62.17,79.77,30.52,41.11,107.65,155.9,24.7275,23.25,153.33,73.49,93.32,65,53.51,67.61,331.2,18.25,14.305,22.8817,36.965,25.926,17.8227,88.2093,43.805,67.61,60.71,50.24,235.35,13.795,109,7.214,19.1
13-05-2015,166.25,52.66,#N/A N/A,47.03,85.3634,13.748,22.47,26.08,55.99,62.01,80.33,30.4,41.085,106.3,154.4,24.8225,23.48,153.33,73.57,90.89,63.77,54.02,67.46,333.1,17.795,14.33,22.6072,37.915,25.8333,18.0589,87.712,44.135,68.08,60.2,49.965,237.15,14.06,108.25,7.12,19.16
14-05-2015,170.15,53.72,#N/A N/A,47.335,86.6075,13.996,22.76,26.57,56.9,62.81,81.69,30.755,40.845,108.9,158.85,25.3125,23.5,155.56,74.46,91.31,64.25,54.32,67.98,338.85,17.875,14.46,23.903,37.665,26.2784,18.3434,88.7762,44.93,69.32,60.87,50.58,241.9,14.31,109.25,7.206,19.95
15-05-2015,168.4,53.6,#N/A N/A,46.47,85.8391,13.866,22.785,26.865,56.74,62.51,80.85,30.475,40.665,108.85,158.75,25.025,23.445,154.91,74.86,90.81,63.72,55.09,67.31,340.15,17.825,14.21,24.1356,37.655,25.9631,18.2903,87.6026,44.65,68.41,60.86,50.09,243.85,14.225,108.55,7.112,19.495
18-05-2015,169.8,53.4,#N/A N/A,46.67,84.8878,13.99,22.825,27.105,56.65,62.76,81.06,30.65,41.09,108.9,160.15,25.375,23.015,156.54,74.92,91.81,64.15,55.55,67.33,344.4,17.8,14.74,23.554,37.76,26.181,18.2373,88.7464,44.025,68.44,61.5,50.57,238.9,13.79,109.45,7.216,19.5
