Date,SHEL LN Equity,AZN LN Equity,HSBA LN Equity,ULVR LN Equity,BP/ LN Equity,DGE LN Equity,GSK LN Equity,GLEN LN Equity,BATS LN Equity,RIO LN Equity,REL LN Equity,RKT LN Equity,LSEG LN Equity,NG/ LN Equity,CPG LN Equity,BA/ LN Equity,LLOY LN Equity,AAL LN Equity,EXPN LN Equity,BARC LN Equity,PRU LN Equity,FLTR LN Equity,AHT LN Equity,III LN Equity,TSCO LN Equity,RR/ LN Equity,HLN LN Equity,SSE LN Equity,STAN LN Equity,VOD LN Equity,RTO LN Equity,IMB LN Equity,LGEN LN Equity,NWG LN Equity,AV/ LN Equity,INF LN Equity,IHG LN Equity,SGE LN Equity,BNZL LN Equity,SMT LN Equity,SN/ LN Equity,NXT LN Equity,SGRO LN Equity,CNA LN Equity,WPP LN Equity,BT/A LN Equity,HLMA LN Equity,ADM LN Equity,BRBY LN Equity,SKG LN Equity,ABF LN Equity,SPX LN Equity,CRDA LN Equity,WTB LN Equity,MNDI LN Equity,ITRK LN Equity,UU/ LN Equity,MRO LN Equity,PSON LN Equity,SVT LN Equity,ENT LN Equity,SMIN LN Equity,AUTO LN Equity,IAG LN Equity,BME LN Equity,ANTO LN Equity,WEIR LN Equity,MKS LN Equity,PSH LN Equity,FCIT LN Equity,RMV LN Equity,DCC LN Equity,STJ LN Equity,CCH LN Equity,SBRY LN Equity,LAND LN Equity,BDEV LN Equity,MNG LN Equity,BKG LN Equity,KGF LN Equity,DPH LN Equity,TW/ LN Equity,IMI LN Equity,DPLM LN Equity,HWDN LN Equity,JD/ LN Equity,SMDS LN Equity,BEZ LN Equity,OCDO LN Equity,CTEC LN Equity,PHNX LN Equity,RS1 LN Equity,SDR LN Equity,HIK LN Equity,UTG LN Equity,HL/ LN Equity,EDV LN Equity,AAF LN Equity,FRES LN Equity,FRAS LN Equity
15-09-2008,1680,2505,744.642,1599,491.5,1025,1244.254,#N/A N/A,1840,3464.68,598,2798.299,677.963,704.317,380.949,441.75,135.799,2397.798,421.5,291.903,427.319,1075.711,77.5,520.588,465.626,130.919,#N/A N/A,1398,1111.66,162.964,74,1665,92.1,2266.924,644.079,288.475,1153.091,215.649,686,105.2,616.5,1142,721.044,286.66,535,174.9,198.5,880,438.25,371.3186,768,1081.23,674.781,973.385,299.5,901.5,694,438.521,685.5,1323,171.5,1059,#N/A N/A,173.204,#N/A N/A,493.25,781.5,232.649,#N/A N/A,271,29.625,1196.317,217.25,#N/A N/A,362.25,1300.827,88.033,#N/A N/A,856.5,125,384.338,34.727,484.286,157.5,29.25,2.952,84.447,95.779,#N/A N/A,#N/A N/A,#N/A N/A,166.25,166.175,435,249.072,185,#N/A N/A,#N/A N/A,329.75,75
16-09-2008,1605,2441,731.788,1606,476,1023,1219.976,#N/A N/A,1791,3198.675,570,2758.226,700.071,708.731,373.767,421.75,138.776,2247.5,399.25,284.513,415.995,1093.411,74.5,495.057,454.226,124.742,#N/A N/A,1392,1112.47,158.229,74.25,1659,88.5,2036.462,605.263,257.372,1122.464,214.334,680.5,101,615.5,1133,707.739,295.562,510,170,200.25,857.5,431,357.2857,745.5,1047.846,650.379,978.54,287.75,881.5,688.5,434.99,660,1307,171.5,1032,#N/A N/A,171.547,#N/A N/A,458.25,743.5,225.237,#N/A N/A,263.25,30.575,1216.039,228.5,#N/A N/A,354,1240.952,86.886,#N/A N/A,839,125.9,383.431,34.917,460.857,152,25.75,2.92,85.569,92.906,#N/A N/A,#N/A N/A,#N/A N/A,171.5,167.025,443.25,249.072,177,#N/A N/A,#N/A N/A,318,77
17-09-2008,1602,2455,698.02,1556,472.25,1008,1218.459,#N/A N/A,1712,3015.28,547,2707.401,674.739,707.75,362.44,417.5,138.776,2039.472,399,293.52,415.995,1204.331,70.5,490.698,472.213,123.283,#N/A N/A,1380,1094.81,153.37,74.5,1627,89.9,1824.309,599.342,273.896,1065.805,218.805,670,97.7,615.5,1072,706.881,289.775,482,166.1,202.75,859.5,410,348.9721,745,1055.384,684.33,898.642,281,875,680,420.867,624.5,1303,171.5,1030,#N/A N/A,161.27,#N/A N/A,423.25,726,216.868,#N/A N/A,263,30,1181.621,235,#N/A N/A,361.75,1226.466,80.329,#N/A N/A,850,119.8,383.431,34.538,467.714,153,25.25,2.85,79.48,97.934,#N/A N/A,#N/A N/A,#N/A N/A,161.75,161.755,447,249.072,175.5,#N/A N/A,#N/A N/A,308.5,76.5
18-09-2008,1595,2415,693.663,1515,464.5,982.5,1198.733,#N/A N/A,1830,3019.41,542,2799.276,727.705,700.884,369.899,412.25,117.817,2106.161,395,278.047,415.354,1181.023,72,490.386,490.706,120.366,#N/A N/A,1371,1073.94,149.508,78,1700,86.9,1742.462,628.618,265.926,1063.508,215.649,669,96.75,599.5,1112,695.293,284.434,466.75,158.9,202.5,885,424.75,344.7498,757,1069.384,685.921,924.415,275,865.5,697,413.806,594,1388,171.5,1055,#N/A N/A,143.867,#N/A N/A,426.25,705,221.889,#N/A N/A,265,30.875,1202.57,215.5,#N/A N/A,350,1175.283,85.083,#N/A N/A,874.5,131.4,380.712,35.676,444.571,151.75,25.5,2.905,81.403,98.653,#N/A N/A,#N/A N/A,#N/A N/A,168.25,164.305,447.75,239.089,178.75,#N/A N/A,#N/A N/A,330,71.5
19-09-2008,1684,2471,801.285,1500,490.25,1029,1226.551,#N/A N/A,1805,3443.201,603,2842.282,835.94,705.788,383.435,445,141.752,2369.928,413,359.337,512.782,1198.976,79,527.438,499.446,130.49,#N/A N/A,1388,1256.14,163.711,81.25,1771,107,2299.232,743.421,267.092,1172.998,231.955,698,105,600,1247,755.38,292.669,501,173.5,213.5,995,458,351.4521,770,1082.307,673.72,1005.173,288,900,705,434.284,638.5,1409,171.5,1108,#N/A N/A,145.027,#N/A N/A,521,765,234.084,#N/A N/A,288,30.2,1185.905,243.5,#N/A N/A,370.25,1274.753,97.214,#N/A N/A,960,144.9,400.201,41.749,473.429,154,27,2.833,85.088,109.188,#N/A N/A,#N/A N/A,#N/A N/A,171.75,185.13,450,258.08,204.25,#N/A N/A,#N/A N/A,338.5,72.5
22-09-2008,1712,2521,755.099,1452,500.25,979,1213.906,#N/A N/A,1768,3502.681,582.5,2715.22,794.949,690.584,364.927,422.75,136.42,2316.179,400,344.557,476.033,1206.337,82.5,512.493,492.606,124.484,#N/A N/A,1379,1195.94,159.413,80.5,1730,107,2326.155,703.947,270.008,1132.418,223.802,688.5,103.8,600.5,1199,724.049,290.221,485.5,174.1,206.25,994.5,433.75,322.7994,757.5,1076.923,679.025,992.286,275,896,694,424.398,617,1375,171.5,1055,#N/A N/A,144.862,#N/A N/A,520.5,775,227.15,#N/A N/A,278.75,29.45,1187.583,260,#N/A N/A,352.75,1253.507,93.279,#N/A N/A,913,145,394.309,36.245,472.286,149,25.75,2.75,76.756,108.23,#N/A N/A,#N/A N/A,#N/A N/A,169.25,183.6,443.75,252.724,199.5,#N/A N/A,#N/A N/A,340,70.5
23-09-2008,1710,2537,762.071,1487,491.5,973,1213.906,#N/A N/A,1795,3323.416,567.5,2661.463,759.024,694.017,365.203,421,129.847,2126.068,384.75,330.008,444.839,1194.021,77.25,498.17,485.26,122.168,#N/A N/A,1391,1171.86,155.301,76.75,1758,103.3,2188.847,690.789,253.29,1083.415,217.227,670,102.3,585.5,1146,730.058,294.227,486.5,166.5,196.25,966.5,405.75,281.4695,749.5,1071.538,670.537,945.893,259.25,856.5,684.5,420.161,593,1361,169,1019,#N/A N/A,139.558,#N/A N/A,491,751.5,222.846,#N/A N/A,267.5,27.9,1140.129,260,#N/A N/A,348.75,1247.712,86.23,#N/A N/A,870,136.5,387.737,34.538,451.714,150.5,24.75,2.998,70.186,107.273,#N/A N/A,#N/A N/A,#N/A N/A,165,180.2,448.75,239.333,189,#N/A N/A,#N/A N/A,336,65.5
24-09-2008,1704,2460,754.228,1488,487,977,1202.273,#N/A N/A,1797,3297.807,562,2644.847,812.911,703.827,366.032,429.5,132.451,1998.663,379.75,319.154,454.667,1150.432,76.75,496.925,484.246,122.168,#N/A N/A,1416,1171.86,150.255,75.25,1818,100,2261.54,646.382,243.182,1054.32,215.123,668,103.6,603,1143,745.079,294.672,482,162.9,198,957,402,288.9091,735.5,1084.461,656.744,927.852,264,842,679,410.981,587,1359,169,1016,#N/A N/A,137.569,#N/A N/A,472.25,733.5,221.172,#N/A N/A,261.5,28.525,1096.271,260,#N/A N/A,352.75,1244.815,88.853,#N/A N/A,860,136.2,381.392,36.056,435.143,151,23.75,2.96,73.551,110.146,#N/A N/A,#N/A N/A,#N/A N/A,160.5,173.23,436.75,243.228,194.5,#N/A N/A,#N/A N/A,341,64
25-09-2008,1733,2534,767.735,1541,498,1008,1233.632,#N/A N/A,1851,3254.85,575,2740.632,768.236,706.769,363.269,436,135.551,2048.43,393.5,341.786,493.126,1165.47,76,505.643,472.466,125.685,#N/A N/A,1441,1158.22,159.226,75,1868,109.8,2374.616,710.526,249.597,1056.617,219.331,679.5,103,610,1122,755.38,286.437,483.25,166.6,194.5,1010,410.5,300.052,749,1044.615,667.354,969.949,267,860,683,422.279,605,1340,169,1034,#N/A N/A,131.735,#N/A N/A,477.25,705.5,218.064,#N/A N/A,269.5,28,1105.497,239,#N/A N/A,351.75,1249.644,86.066,#N/A N/A,830,138.5,388.643,35.107,446.286,150,22,3.025,72.109,115.893,#N/A N/A,#N/A N/A,#N/A N/A,159.75,175.95,416.25,236.898,194.25,#N/A N/A,#N/A N/A,349.5,63.5
26-09-2008,1701,2517,765.992,1519,488.5,984.5,1234.138,#N/A N/A,1866,3060.715,567,2730.858,763.63,697.941,366.584,426.25,124.514,1971.788,383.5,338.553,463.641,1106.436,74,491.321,469.806,120.967,#N/A N/A,1433,1123.7,156.983,75,1854,106,2240.001,681.579,250.374,1058.148,211.968,661.5,100,607.5,1085,745.079,290.888,473.75,163.8,199.25,1003,406.5,286.4975,740,1014.461,663.641,925.274,267.5,860.5,683.5,407.45,594,1330,169,1015,#N/A N/A,128.221,#N/A N/A,448.25,669,211.369,#N/A N/A,263,27.5,1114.996,228,#N/A N/A,363.25,1240.952,79.673,#N/A N/A,793,134.1,389.777,32.64,429.143,150.5,22.25,2.998,70.987,113.259,#N/A N/A,#N/A N/A,#N/A N/A,164.75,167.875,416.75,233.733,192,#N/A N/A,#N/A N/A,338.25,60
29-09-2008,1630,2432,753.792,1491,467,955.5,1202.779,#N/A N/A,1803,2734.404,541,2666.35,728.626,691.565,366.032,397.75,107.771,1807.556,353.25,308.762,421.55,1100.232,70.75,426.87,468.54,112.816,#N/A N/A,1401,999.29,150.629,68,1747,98.1,1949.232,627.303,244.737,1025.99,205.971,633.5,90.05,584.5,1029,700.872,283.989,439.25,158.9,198.5,982.5,378.25,236.3305,721,947.154,627.568,873.727,256.25,812,678,381.323,580,1321,157.5,997,#N/A N/A,112.309,#N/A N/A,395.75,605,199.174,#N/A N/A,247.25,25.425,1096.222,210,#N/A N/A,342.25,1176.249,66.886,#N/A N/A,729.5,128.3,380.712,26.378,409.429,150,22,2.95,70.827,113.259,#N/A N/A,#N/A N/A,#N/A N/A,162,165.325,394,221.803,183.5,#N/A N/A,#N/A N/A,317,55.25
30-09-2008,1618,2460,785.164,1522,464,945,1225.034,#N/A N/A,1835,2867.407,555,2649.734,794.949,700.393,380.12,412,112.36,1846.374,367.5,301.603,433.728,1069.889,66.75,440.881,490.96,115.476,#N/A N/A,1427,1079.56,152.872,69,1797,100,1927.693,631.579,244.737,1053.554,205.446,657,91.8,591,1019,715.465,279.538,448,161.1,196.5,1015,390,241.7952,710,974.615,640.299,908.951,258,833.5,695,405.332,600,1354,148.5,1012,#N/A N/A,111.514,#N/A N/A,400,609.5,192.719,#N/A N/A,248,25.35,1095.98,215,#N/A N/A,348,1207.152,68.689,#N/A N/A,755,131.7,370.514,26.757,426.571,152.5,26,3.06,68.904,112.541,#N/A N/A,#N/A N/A,#N/A N/A,163.5,172.21,400.25,221.073,179.75,#N/A N/A,#N/A N/A,320,54
01-10-2008,1630,2527,803.682,1563,464,959,1226.046,#N/A N/A,1890,2880.625,573,2721.084,816.596,706.769,391.447,421.5,124.018,1839.407,370.25,314.997,449.967,1123.441,67,447.108,499.7,117.02,#N/A N/A,1445,1114.87,155.8,69,1840,95.1,1938.462,640.789,229.38,1033.647,206.392,664.5,90.2,579.5,1059,725.766,279.538,456.5,162.5,196.25,999,380,234.8672,729,942.307,651.44,924.415,264.75,822.5,691.5,381.323,592,1365,151.5,973.5,#N/A N/A,115.027,#N/A N/A,380.5,612,201.087,#N/A N/A,252.75,26.2,1091.302,220,#N/A N/A,339.25,1236.124,71.804,#N/A N/A,743.5,135,380.712,27.137,431.429,152,24,3.06,68.583,112.062,#N/A N/A,#N/A N/A,#N/A N/A,167.5,172.38,403,223.264,188.5,#N/A N/A,#N/A N/A,314.25,51
02-10-2008,1583,2535,794.532,1529,450,949.5,1239.196,#N/A N/A,1901,2651.794,580.5,2709.356,790.343,707.26,388.408,406,129.971,1696.076,355.25,312.226,427.319,1112.65,68.5,451.467,498.18,113.846,#N/A N/A,1422,1091.6,158.042,69,1849,91.1,1895.385,611.842,244.543,983.113,206.603,675,94.25,554,1099,731.774,285.769,456.75,162.6,200.25,935,374.5,242.7927,726.5,1007.461,662.049,934.725,258.75,819.5,685,392.621,624.5,1351,151.5,967,#N/A N/A,118.077,#N/A N/A,349,626,217.346,#N/A N/A,252,25.375,1077.686,223.25,#N/A N/A,334.5,1245.781,72.132,#N/A N/A,775,135,380.939,26.188,432,149,24,3.075,67.782,113.259,#N/A N/A,#N/A N/A,#N/A N/A,171.25,170.85,420,219.368,184.75,#N/A N/A,#N/A N/A,293.25,51.75
03-10-2008,1628,2555,808.475,1600,467.75,923,1243.243,#N/A N/A,1932,2807.101,586,2638.005,767.775,711.184,374.872,415.25,143.985,1772.718,344.5,339.938,425.609,1100.597,68.75,448.976,526.553,111.959,#N/A N/A,1429,1122.1,161.032,67.75,1846,96.8,2005.232,628.947,250.569,1002.255,206.077,681,96.2,551,1135,726.195,280.65,464.5,167.6,200,946,366,252.9509,724.5,1022.538,667.354,906.374,257.5,806,681.5,381.323,633,1335,151.5,946,#N/A N/A,109.657,#N/A N/A,380.25,620.5,229.063,#N/A N/A,271,25.5,1087.3,220,#N/A N/A,329.5,1246.747,76.23,#N/A N/A,791,139.4,387.737,26.378,446.857,150,24.25,3,67.782,115.653,#N/A N/A,#N/A N/A,#N/A N/A,171.5,175.44,416,210.36,190,#N/A N/A,#N/A N/A,280.75,51
