Date,9988 HK Equity,6690 HK Equity,857 HK Equity,101 HK Equity,1088 HK Equity,688 HK Equity,267 HK Equity,3692 HK Equity,11 HK Equity,2899 HK Equity,881 HK Equity,3 HK Equity,1099 HK Equity,992 HK Equity,66 HK Equity,1299 HK Equity,2628 HK Equity,968 HK Equity,27 HK Equity,939 HK Equity,6098 HK Equity,3988 HK Equity,316 HK Equity,1398 HK Equity,3968 HK Equity,388 HK Equity,2313 HK Equity,1038 HK Equity,9961 HK Equity,9618 HK Equity,2319 HK Equity,669 HK Equity,700 HK Equity,2318 HK Equity,960 HK Equity,941 HK Equity,6862 HK Equity,1876 HK Equity,2382 HK Equity,1044 HK Equity,386 HK Equity,9888 HK Equity,1113 HK Equity,241 HK Equity,883 HK Equity,5 HK Equity,1211 HK Equity,2388 HK Equity,1177 HK Equity,6618 HK Equity,9999 HK Equity,2020 HK Equity,9633 HK Equity,981 HK Equity,1209 HK Equity,322 HK Equity,291 HK Equity,3690 HK Equity,836 HK Equity,1109 HK Equity,823 HK Equity,2269 HK Equity,868 HK Equity,762 HK Equity,1928 HK Equity,1810 HK Equity,1929 HK Equity,1378 HK Equity,1997 HK Equity,1093 HK Equity,2 HK Equity,2688 HK Equity,175 HK Equity,1 HK Equity,16 HK Equity,17 HK Equity,2331 HK Equity,288 HK Equity,6 HK Equity,12 HK Equity
19-06-2013,#N/A N/A,#N/A N/A,8.41,27.45,23,19.817,8.42,#N/A N/A,117.9,1.71,8.83,9.615,20.65,7.23,28.6,32.8,18.92,#N/A N/A,44.05,5.43,#N/A N/A,3.17,51.25,4.75,13.447,122.1,23.3,54,#N/A N/A,#N/A N/A,14.35,19.36,55.233,27.5,12.44,76.15,#N/A N/A,#N/A N/A,8.56,75.657,5.59,#N/A N/A,#N/A N/A,0.455,13.6,83.75,32.9,24.55,1.419,#N/A N/A,#N/A N/A,6.71,#N/A N/A,6.3,#N/A N/A,19.9,22.366,#N/A N/A,17.94,20.75,37.755,#N/A N/A,5.471,10.36,40.2,#N/A N/A,8.86,4.3,#N/A N/A,2.036,63.8,44.15,3.71,75.689,99.75,41.796,4.212,#N/A N/A,68.1,25.994
20-06-2013,#N/A N/A,#N/A N/A,8.22,26.85,22.15,18.593,8.17,#N/A N/A,115.3,1.68,8.71,9.451,19.94,7.13,28.05,32.1,18.52,#N/A N/A,42.95,5.15,#N/A N/A,3.08,51.45,4.57,12.978,121.1,21.9,52.5,#N/A N/A,#N/A N/A,14.55,18.42,53.5,26.8,12.5,75.05,#N/A N/A,#N/A N/A,8.51,74.352,5.37,#N/A N/A,#N/A N/A,0.45,13,81.5,29.85,24.05,1.431,#N/A N/A,#N/A N/A,6.6,#N/A N/A,6.2,#N/A N/A,19.82,21.816,#N/A N/A,17.46,19.32,36.151,#N/A N/A,5.229,10.1,38.85,#N/A N/A,8.89,4.11,#N/A N/A,1.979,62.3,42.1,3.61,72.973,96.95,40.29,4.003,#N/A N/A,66.5,25.542
21-06-2013,#N/A N/A,#N/A N/A,8.11,25.9,22.65,18.438,8.05,#N/A N/A,114.4,1.58,8.36,9.451,19.36,7.12,27.85,32.5,18.52,#N/A N/A,39.35,5.19,#N/A N/A,3.07,50.65,4.62,12.86,119.2,21.8,52.85,#N/A N/A,#N/A N/A,13.75,18.22,52.689,26.5,12.34,77.1,#N/A N/A,#N/A N/A,8.98,72.757,5.32,#N/A N/A,#N/A N/A,0.44,12.72,80.65,29.2,23.95,1.387,#N/A N/A,#N/A N/A,6.61,#N/A N/A,6.1,#N/A N/A,19.84,21.036,#N/A N/A,17.8,18.94,36.491,#N/A N/A,5.054,10.02,37.35,#N/A N/A,8.84,4.14,#N/A N/A,1.969,61.8,40.9,3.43,71.829,95.8,39.311,4.003,#N/A N/A,67,25.232
24-06-2013,#N/A N/A,#N/A N/A,7.91,25.5,22,18.146,7.95,#N/A N/A,111.7,1.49,8.35,9.431,18.6,6.82,27.45,31.65,17.92,#N/A N/A,37.1,5.08,#N/A N/A,2.99,48.95,4.48,12.274,115.9,21,52.75,#N/A N/A,#N/A N/A,13.4,17.16,51.361,25.75,11.9,75.95,#N/A N/A,#N/A N/A,7.84,72.177,5.08,#N/A N/A,#N/A N/A,0.41,12.34,79.25,26,23.5,1.387,#N/A N/A,#N/A N/A,6.54,#N/A N/A,5.8,#N/A N/A,19,20.67,#N/A N/A,17.18,18.9,36.151,#N/A N/A,4.929,9.84,35.35,#N/A N/A,8.29,4.07,#N/A N/A,1.88,61.3,39.5,3.23,71.901,95.5,38.633,3.794,#N/A N/A,66.55,25.063
25-06-2013,#N/A N/A,#N/A N/A,7.86,26.15,21.55,18.01,8.25,#N/A N/A,111.4,1.41,8.21,9.533,18.36,6.84,27.4,31.85,17.72,#N/A N/A,37.85,5.08,#N/A N/A,3.03,48.1,4.4,12.137,114.1,21.25,52,#N/A N/A,#N/A N/A,12.95,17.4,52.246,25.125,11.46,75.75,#N/A N/A,#N/A N/A,8.33,75.851,5.16,#N/A N/A,#N/A N/A,0.4,12.28,79.7,24.9,23.1,1.366,#N/A N/A,#N/A N/A,6.46,#N/A N/A,5.5,#N/A N/A,18.72,20.716,#N/A N/A,16.8,19.08,35.762,#N/A N/A,4.813,9.79,34.75,#N/A N/A,7.76,3.8,#N/A N/A,1.88,61.4,39.05,3.11,72.258,96.5,38.407,3.676,#N/A N/A,66.25,25.542
26-06-2013,#N/A N/A,#N/A N/A,7.96,26.55,22,18.515,8.36,#N/A N/A,113.9,1.43,8.29,9.595,19.18,7.01,27.85,32.35,18,#N/A N/A,38.5,5.41,#N/A N/A,3.13,48.2,4.7,12.684,116.5,22.45,52,#N/A N/A,#N/A N/A,13.475,17.92,53.537,25.575,11,77.25,#N/A N/A,#N/A N/A,8.63,75.996,5.24,#N/A N/A,#N/A N/A,0.43,12.52,80.5,26.55,23.5,1.452,#N/A N/A,#N/A N/A,6.71,#N/A N/A,5.7,#N/A N/A,19.66,21.22,#N/A N/A,17.28,19.36,37.22,#N/A N/A,4.979,10.14,36.05,#N/A N/A,8.01,3.99,#N/A N/A,1.979,62.05,39.65,3.37,73.402,98.75,39.462,3.64,#N/A N/A,66.7,26.135
27-06-2013,#N/A N/A,#N/A N/A,7.98,26.6,20.15,18.904,8.27,#N/A N/A,112.9,1.39,8.26,9.779,19.5,7.02,28.1,32.65,17.96,#N/A N/A,38.15,5.39,#N/A N/A,3.13,49.55,4.76,12.606,114.5,22.85,53.65,#N/A N/A,#N/A N/A,13.325,18,54.901,25.35,11.08,77.85,#N/A N/A,#N/A N/A,8.93,76.189,5.34,#N/A N/A,#N/A N/A,0.405,12.78,80.5,25.45,23.6,1.47,#N/A N/A,#N/A N/A,6.77,#N/A N/A,5.6,#N/A N/A,19.9,21.541,#N/A N/A,18.36,20.35,36.734,#N/A N/A,4.954,10.06,36.15,#N/A N/A,8.4,3.88,#N/A N/A,1.953,62.35,40.95,3.3,74.045,98.4,39.236,3.531,#N/A N/A,67.55,26.135
28-06-2013,#N/A N/A,#N/A N/A,8.25,27.05,19.8,19.769,8.32,#N/A N/A,114.7,1.37,8.58,9.707,19.48,7.03,28.6,32.85,18.4,#N/A N/A,38,5.49,#N/A N/A,3.19,50.1,4.89,12.665,117.1,22.3,51.7,#N/A N/A,#N/A N/A,13.875,18.56,56.081,26.1,11.54,81,#N/A N/A,#N/A N/A,9.36,81.7,5.46,#N/A N/A,#N/A N/A,0.405,13.16,81.25,25.7,23.85,1.49,#N/A N/A,#N/A N/A,6.8,#N/A N/A,5.7,#N/A N/A,20.2,22.366,#N/A N/A,18.48,21.2,37.074,#N/A N/A,5.021,10.3,36.55,#N/A N/A,8.1,3.9,#N/A N/A,2.021,62.75,41.35,3.36,75.188,100.1,40.441,3.522,#N/A N/A,66.9,26.135
01-07-2013,#N/A N/A,#N/A N/A,8.25,27.05,19.8,19.769,8.32,#N/A N/A,114.7,1.37,8.58,9.707,19.48,7.03,28.6,32.85,18.4,#N/A N/A,38,5.49,#N/A N/A,3.19,50.1,4.89,12.665,117.1,22.3,51.7,#N/A N/A,#N/A N/A,13.875,18.56,56.081,26.1,11.54,81,#N/A N/A,#N/A N/A,9.36,81.7,5.46,#N/A N/A,#N/A N/A,0.405,13.16,81.25,25.7,23.85,1.49,#N/A N/A,#N/A N/A,6.8,#N/A N/A,5.7,#N/A N/A,20.2,22.366,#N/A N/A,18.48,21.2,37.074,#N/A N/A,5.021,10.3,36.55,#N/A N/A,8.1,3.9,#N/A N/A,2.021,62.75,41.35,3.36,75.188,100.1,40.441,3.522,#N/A N/A,66.9,26.135
02-07-2013,#N/A N/A,#N/A N/A,8.8,26.65,19.56,19.273,8.17,#N/A N/A,114.3,1.46,8.71,9.646,19,7,28.2,33.1,18.08,#N/A N/A,37.5,5.28,#N/A N/A,3.11,49.15,4.75,12.363,117.4,22.55,52.05,#N/A N/A,#N/A N/A,14.45,18.98,55.638,25.725,11.14,80.65,#N/A N/A,#N/A N/A,9.84,78.896,5.33,#N/A N/A,#N/A N/A,0.41,12.94,81.5,28.5,23.9,1.499,#N/A N/A,#N/A N/A,6.98,#N/A N/A,5.9,#N/A N/A,20.2,22.045,#N/A N/A,18.36,20.15,37.317,#N/A N/A,5.146,10.38,37,#N/A N/A,8.27,3.69,#N/A N/A,2.068,62.7,41.5,3.33,74.617,99.95,40.365,3.658,#N/A N/A,68.3,26.304
03-07-2013,#N/A N/A,#N/A N/A,8.8,25.45,18.22,18.496,8.04,#N/A N/A,112.5,1.44,8.59,9.533,19,6.84,27.65,32.1,17.5,#N/A N/A,36.8,5.15,#N/A N/A,3.02,48.15,4.56,12.059,115.1,21.95,51.65,#N/A N/A,#N/A N/A,13.9,18.26,55.085,24.875,10.84,78.4,#N/A N/A,#N/A N/A,8.93,79.331,5.12,#N/A N/A,#N/A N/A,0.42,12.54,79.8,27.85,23.3,1.484,#N/A N/A,#N/A N/A,6.63,#N/A N/A,5.6,#N/A N/A,20,21.128,#N/A N/A,18.12,19.42,36.929,#N/A N/A,4.996,10.18,35.8,#N/A N/A,8.11,3.65,#N/A N/A,2.021,61.9,42.85,3.14,73.044,97.7,38.784,3.431,#N/A N/A,66.6,25.345
04-07-2013,#N/A N/A,#N/A N/A,8.96,25.45,19.22,18.962,8.19,#N/A N/A,112.5,1.6,8.28,9.656,18.94,6.8,28.6,32.5,17.58,#N/A N/A,36.8,5.24,#N/A N/A,3.05,47.7,4.67,12.372,116.1,21.95,51.85,#N/A N/A,#N/A N/A,14.25,18.1,56.486,24.8,11.1,80.1,#N/A N/A,#N/A N/A,9,79.138,5.25,#N/A N/A,#N/A N/A,0.42,12.8,81.05,29.05,23.55,1.47,#N/A N/A,#N/A N/A,6.72,#N/A N/A,5.7,#N/A N/A,20.1,21.266,#N/A N/A,18.4,20.3,37.123,#N/A N/A,4.954,10.38,36.65,#N/A N/A,8.01,3.74,#N/A N/A,2.01,62.6,42.9,3,73.973,98.65,39.085,3.558,#N/A N/A,68.05,25.514
05-07-2013,#N/A N/A,#N/A N/A,8.97,26.5,20.5,19.477,8.31,#N/A N/A,116.4,1.58,8.03,9.994,18.72,6.82,28.75,33.25,17.96,#N/A N/A,37.4,5.36,#N/A N/A,3.14,47.7,4.82,12.665,117,22.1,53.3,#N/A N/A,#N/A N/A,14.2,18.42,56.855,24.975,11.34,80.65,#N/A N/A,#N/A N/A,8.39,78.703,5.32,#N/A N/A,#N/A N/A,0.425,13.08,83.25,28.8,23.85,1.481,#N/A N/A,#N/A N/A,6.76,#N/A N/A,6.1,#N/A N/A,20,21.724,#N/A N/A,19.16,20.6,37.172,#N/A N/A,5.079,10.5,37.25,#N/A N/A,8.17,3.84,#N/A N/A,1.974,63.15,43.25,3.02,75.188,100.2,40.14,3.567,#N/A N/A,68.3,26.756
08-07-2013,#N/A N/A,#N/A N/A,8.9,25.5,19.98,19.409,8.11,#N/A N/A,113.9,1.47,7.84,9.789,18.44,6.91,28.35,32.65,17.68,#N/A N/A,36.95,5.25,#N/A N/A,3.07,47.4,4.74,12.43,115.5,21.95,52.45,#N/A N/A,#N/A N/A,14.3,18.9,55.749,24.525,11,79.8,#N/A N/A,#N/A N/A,8.11,77.156,5.25,#N/A N/A,#N/A N/A,0.42,13.14,82.85,29,23.4,1.47,#N/A N/A,#N/A N/A,7.05,#N/A N/A,6.4,#N/A N/A,19.88,21.403,#N/A N/A,19.24,20.35,36.929,#N/A N/A,5.021,10.38,36.8,#N/A N/A,8.07,3.94,#N/A N/A,1.953,62.4,41.75,2.97,73.973,98.9,39.16,3.549,#N/A N/A,66.85,26.22
09-07-2013,#N/A N/A,#N/A N/A,8.98,25.6,19.42,19.351,8.28,#N/A N/A,114.4,1.51,7.65,9.933,18.5,6.91,28.3,33.3,17.52,#N/A N/A,35.55,5.25,#N/A N/A,3.06,47.25,4.74,12.391,116.4,22.1,53,#N/A N/A,#N/A N/A,14.425,18.86,55.565,24.425,10.86,80.3,#N/A N/A,#N/A N/A,8.1,77.349,5.3,#N/A N/A,#N/A N/A,0.42,13.16,83.9,28.3,23.35,1.47,#N/A N/A,#N/A N/A,7.11,#N/A N/A,6.4,#N/A N/A,20,22.182,#N/A N/A,19.24,20.6,37.269,#N/A N/A,4.988,10.48,36.4,#N/A N/A,8.11,3.96,#N/A N/A,2.01,62.55,42.6,2.97,73.973,98.75,40.064,3.576,#N/A N/A,68.6,26.7
10-07-2013,#N/A N/A,#N/A N/A,9.12,25.75,20.2,19.671,8.23,#N/A N/A,114.6,1.52,7.5,9.963,18.44,6.9,28.6,34.05,17.76,#N/A N/A,36.35,5.35,#N/A N/A,3.12,47.9,4.8,12.606,116.9,21.1,52.6,#N/A N/A,#N/A N/A,14.425,19,56.118,25.1,10.76,81.1,#N/A N/A,#N/A N/A,8.02,77.156,5.43,#N/A N/A,#N/A N/A,0.42,13.1,83.75,28.35,23.75,1.499,#N/A N/A,#N/A N/A,7.12,#N/A N/A,6.3,#N/A N/A,19.44,21.816,#N/A N/A,20.15,20.55,37.269,#N/A N/A,4.963,10.4,38.1,#N/A N/A,9.16,3.92,#N/A N/A,2.047,62.9,42.4,2.85,75.903,100,41.269,3.585,#N/A N/A,68.8,26.925
11-07-2013,#N/A N/A,#N/A N/A,9.35,26.1,20.95,20.934,8.59,#N/A N/A,117.9,1.6,7.71,10.158,18.8,7.15,29.4,35,18.9,#N/A N/A,38.95,5.51,#N/A N/A,3.22,47.85,4.95,13.017,120.8,20.8,53.25,#N/A N/A,#N/A N/A,14.275,19.6,57.297,26.225,11.26,81.95,#N/A N/A,#N/A N/A,8.31,76.914,5.57,#N/A N/A,#N/A N/A,0.41,13.64,85.2,28.65,24.3,1.526,#N/A N/A,#N/A N/A,7.82,#N/A N/A,6.4,#N/A N/A,19.56,22.411,#N/A N/A,20.2,21.9,37.998,#N/A N/A,5.063,10.62,39.65,#N/A N/A,8.91,4.03,#N/A N/A,2.078,63.65,42.8,3.06,76.975,101.7,42.022,3.839,#N/A N/A,70.65,27.264
12-07-2013,#N/A N/A,#N/A N/A,9.25,25.35,20.7,20.934,8.57,#N/A N/A,117.4,1.57,7.8,10.066,19.04,7.19,29.35,34.6,18.52,#N/A N/A,38.55,5.44,#N/A N/A,3.17,47.55,4.9,12.821,121,20.7,52.15,#N/A N/A,#N/A N/A,14.3,20.05,57.113,25.575,11.52,81.55,#N/A N/A,#N/A N/A,8.43,77.253,5.5,#N/A N/A,#N/A N/A,0.415,13.7,84.7,28.8,24.3,1.535,#N/A N/A,#N/A N/A,7.71,#N/A N/A,6.4,#N/A N/A,18.98,22.045,#N/A N/A,19.82,21.8,38.046,#N/A N/A,5.229,10.62,39.2,#N/A N/A,8.94,4.07,#N/A N/A,2.12,63.9,44.4,3.1,76.475,102.3,41.947,3.758,#N/A N/A,69.2,27.687
15-07-2013,#N/A N/A,#N/A N/A,9.18,25.65,20.85,20.934,8.75,#N/A N/A,116.8,1.61,7.74,9.933,18.68,7.18,29.2,34.1,18.54,#N/A N/A,38.15,5.49,#N/A N/A,3.17,46.8,4.91,12.782,121.5,21.2,52.55,#N/A N/A,#N/A N/A,14.65,20.35,59.252,25.5,11.34,81.65,#N/A N/A,#N/A N/A,8.45,75.126,5.47,#N/A N/A,#N/A N/A,0.42,13.62,85.1,31.95,24.35,1.567,#N/A N/A,#N/A N/A,7.95,#N/A N/A,6.5,#N/A N/A,19.08,22.778,#N/A N/A,19.96,21.85,37.512,#N/A N/A,5.287,10.68,39.1,#N/A N/A,8.97,4.1,#N/A N/A,2.151,63.9,43.5,3.17,76.26,102.6,41.796,3.776,#N/A N/A,68.65,27.716
