Date,VALE3 BS Equity,PETR4 BS Equity,ITUB4 BS Equity,PETR3 BS Equity,BBDC4 BS Equity,ELET3 BS Equity,B3SA3 BS Equity,BBAS3 BS Equity,ABEV3 BS Equity,WEGE3 BS Equity,RENT3 BS Equity,ITSA4 BS Equity,PRIO3 BS Equity,SUZB3 BS Equity,BPAC11 BS Equity,EQTL3 BS Equity,RADL3 BS Equity,RDOR3 BS Equity,RAIL3 BS Equity,GGBR4 BS Equity,VBBR3 BS Equity,BBSE3 BS Equity,SBSP3 BS Equity,JBSS3 BS Equity,UGPA3 BS Equity,HAPV3 BS Equity,CSAN3 BS Equity,ENEV3 BS Equity,BBDC3 BS Equity,VIVT3 BS Equity,CMIG4 BS Equity,BRFS3 BS Equity,KLBN11 BS Equity,ASAI3 BS Equity,HYPE3 BS Equity,CPLE6 BS Equity,TOTS3 BS Equity,ENGI11 BS Equity,CCRO3 BS Equity,LREN3 BS Equity,EMBR3 BS Equity,NTCO3 BS Equity,ALSO3 BS Equity,TIMS3 BS Equity,ELET6 BS Equity,EGIE3 BS Equity,SANB11 BS Equity,TAEE11 BS Equity,RRRP3 BS Equity,GOAU4 BS Equity,CSNA3 BS Equity,MULT3 BS Equity,CPFE3 BS Equity,MGLU3 BS Equity,RECV3 BS Equity,YDUQ3 BS Equity,BRAP4 BS Equity,SMTO3 BS Equity,BRKM5 BS Equity,CYRE3 BS Equity,CMIN3 BS Equity,FLRY3 BS Equity,COGN3 BS Equity,AZUL4 BS Equity,CRFB3 BS Equity,IGTI11 BS Equity,RAIZ4 BS Equity,VAMO3 BS Equity,ARZZ3 BS Equity,MRVE3 BS Equity,SLCE3 BS Equity,CIEL3 BS Equity,IRBR3 BS Equity,USIM5 BS Equity,SOMA3 BS Equity,LWSA3 BS Equity,DXCO3 BS Equity,BEEF3 BS Equity,MRFG3 BS Equity,EZTC3 BS Equity,ALPA4 BS Equity,PETZ3 BS Equity,GOLL4 BS Equity,CVCB3 BS Equity,BHIA3 BS Equity,PCAR3 BS Equity
06-07-2021,113.77,27.67,24.136,28.58,22.455,42.64,15.92,31.46,17.55,34.55,62.71,9.518,20.24,59.37,30.72,24.275,23.702,69.86,19.36,28.152,28.6,22.6,35.63,28.68,18.5,14.97,24.38,16.81,19,41.96,9.2,26.42,26.64,17.14,33.88,6.05,37.09,45.64,13.3,39.364,18.69,59.65,27.69,11.21,42.09,39.15,38.578,37.36,45.442,13.76,44.59,22.9,26.7,21.07,20.36,31.5,31.014,35.9,59.02,22.94,9.15,23.433,4.17,42.5,20.64,#N/A N/A,#N/A N/A,15.538,95.81,15.83,43.058,3.59,169.202,19.48,15.89,25.38,18.231,9.3,18.932,29.78,52.67,24.39,22.63,26.29,15,11.733
07-07-2021,114.1,28.05,24.474,28.73,22.618,43.01,16.27,31.88,17.77,36.06,66.108,9.682,19.84,60.95,30.97,24.445,24.904,70.93,20.27,28.571,28.67,22.85,36.22,29,19.1,15.32,24.72,17.51,19.145,42.51,9.292,26.37,27.34,17.25,34.34,6.08,38.3,45.94,13.58,40.382,18.69,60.35,27.97,11.64,42.67,39.32,38.859,37.93,46.278,13.99,46.13,23.03,26.86,22.01,20.2,31.48,31.386,35.17,58.83,23.23,9.14,23.744,4.17,42.67,20.9,#N/A N/A,#N/A N/A,15.75,96.47,16.06,41.545,3.59,169.502,19.77,16.41,26.16,18.331,9.44,18.952,30.41,53.4,24.42,22.76,26.04,15.15,11.686
08-07-2021,113.66,27.49,24.152,28.16,22.355,42.7,16.15,31.79,17.36,34.73,65.271,9.631,19.58,60.98,30.43,24.275,24.644,70.6,20,27.714,28.73,22.6,35.45,29.01,19.06,15,24.65,17.32,18.873,41.65,9.023,26.3,27,17.24,33.95,5.95,37.37,45.1,13.27,40.518,18.21,60.1,27.8,11.24,42.29,39.18,38.549,37.38,45.284,13.51,44.09,23.06,26.5,21.92,19.25,31.1,31.096,34.15,58.39,22.69,9.06,23.311,4.14,41.21,20.77,#N/A N/A,#N/A N/A,15.55,96.04,15.98,40.314,3.53,167.102,19.57,16.3,25.23,17.876,9.35,18.803,29.79,53.04,24.88,22.02,25.5,14.85,11.605
09-07-2021,113.66,27.49,24.152,28.16,22.355,42.7,16.15,31.79,17.36,34.73,65.271,9.631,19.58,60.98,30.43,24.275,24.644,70.6,20,27.714,28.73,22.6,35.45,29.01,19.06,15,24.65,17.32,18.873,41.65,9.023,26.3,27,17.24,33.95,5.95,37.37,45.1,13.27,40.518,18.21,60.1,27.8,11.24,42.29,39.18,38.549,37.38,45.284,13.51,44.09,23.06,26.5,21.92,19.25,31.1,31.096,34.15,58.39,22.69,9.06,23.311,4.14,41.21,20.77,#N/A N/A,#N/A N/A,15.55,96.04,15.98,40.314,3.53,167.102,19.57,16.3,25.23,17.876,9.35,18.803,29.79,53.04,24.88,22.02,25.5,14.85,11.605
12-07-2021,115.07,27.73,24.482,28.45,22.918,43.62,16.71,32.6,17.66,35.58,65.869,9.812,19.44,60.45,30.71,24.575,24.817,69.95,20.13,28.962,29.39,23.17,36.39,29.25,19.39,15.29,26.13,17.61,19.273,42.37,9.338,26.31,27.14,17.31,34.27,6.03,37.74,45.38,13.61,40.809,19.7,61.05,28.43,11.54,42.93,39.65,40.002,37.44,45.806,14.16,46.81,23.8,26.95,22.1,19.41,31.74,31.566,34.98,60.4,23.46,9.16,23.462,4.23,42.55,20.55,#N/A N/A,#N/A N/A,15.875,96.62,16.36,39.43,3.55,169.202,20.23,16.73,25.81,18.058,9.36,18.634,30.71,52.86,24.55,22.31,27.36,14.73,11.602
13-07-2021,115.75,27.9,24.63,28.56,22.9,43.35,16.95,32.46,17.8,35.18,65.928,9.777,19.57,59.47,31.15,24.125,25.413,69.8,20.4,29.076,29.21,22.8,36.19,29.33,19.4,15.48,26.39,17.89,19.336,41.8,9.146,26.46,27.09,17.61,36.45,5.99,38.09,45.18,13.53,41.245,19.12,60.8,29,11.77,42.7,39.55,40.031,37.74,45.501,14.26,47.28,24.48,26.58,22.49,19.2,32.37,32.467,35.5,59.8,23.38,9.13,23.565,4.25,42.49,20.69,#N/A N/A,#N/A N/A,15.805,97.13,16.35,39.694,3.6,167.102,20.5,18.45,26.23,18.074,9.6,18.554,30.47,52.63,24.1,22.25,27.34,14.86,11.455
14-07-2021,115.12,27.67,24.663,28.37,23,44.2,17.12,32.68,17.91,35.01,68.33,9.794,19.35,58.78,31.62,24.435,25.481,69.99,20.76,28.695,29.35,23.1,37.04,29.42,19.67,15.37,26.97,17.99,19.582,41.72,9.338,26.23,26.69,17.542,35.38,5.99,37.88,45.3,13.83,41.127,18.63,59.92,29.5,11.86,43.59,39.69,39.973,37.96,44.693,14.03,45.4,24.94,27.02,22.93,19.31,32.76,32.262,35.18,62.56,23.58,9.14,23.735,4.28,42.55,20.97,#N/A N/A,#N/A N/A,16.233,99.46,16.72,39.017,3.61,170.702,19.79,19.55,26.05,18.669,9.55,18.574,30.93,52.49,23.94,22.59,27.15,14.86,11.47
15-07-2021,115.48,27.08,24.367,27.7,22.655,43.97,17,32.18,17.62,34.92,68.459,9.717,18.95,57.34,32.19,24.115,25.673,68.86,20.53,28.505,29,22.71,36.3,28.94,19.28,15.31,26.9,17.92,19.491,41.25,9.246,26.05,26.29,17.256,35,5.95,38.48,44.53,13.84,40.882,18.27,59.45,29.18,11.87,43.61,40,39.334,37.94,42.872,14.05,46.3,24.45,26.93,23.72,18.59,32.33,32.59,34.81,62.09,23.19,9.1,23.565,4.19,41.85,20.67,#N/A N/A,#N/A N/A,16.233,100.81,16.5,39.099,3.54,167.702,19.76,19.98,25.96,18.62,9.39,18.435,30.53,52.22,23.96,22.13,26.19,14.73,11.129
16-07-2021,113.4,26.68,23.971,27.17,22.155,44.2,16.59,31.79,17.43,34.29,67.453,9.579,18.85,56.35,31.68,24.195,26.048,68.55,20.46,28.057,28.52,22.5,37.07,28.62,19.01,15.36,26.4,17.52,19.155,41.21,9.177,25.82,26,17.488,35.13,6.03,37.88,44.32,13.94,40.936,17.54,59.95,28.78,11.85,43.56,39.68,38.646,38.2,42.715,13.75,44.7,24.17,26.55,23.9,18.89,31.99,31.227,34.52,60.43,22.8,9.1,23.594,4.14,40.5,20.65,#N/A N/A,#N/A N/A,16.5,99.57,16.14,39.132,3.52,167.402,19.33,20.2,26,18.207,9.39,18.723,30.3,52.18,23.51,21.58,25.67,14.6,11.248
19-07-2021,112.16,26.24,23.831,26.85,21.827,43.5,16.41,31.55,17.01,34.18,67.004,9.501,18.2,55.86,31.16,23.976,25.567,66.85,20.87,28.105,28.35,22.13,35.91,28.69,18.76,15.21,26.14,17.32,18.891,41.25,9.131,25.77,25.68,17.47,34.9,6.02,37.42,44.3,13.91,39.955,17.3,59.55,28.51,11.89,43.07,39.39,38.423,38.03,41.199,13.72,44.1,23.9,26.23,23.12,18.27,31.99,30.911,33.72,59.38,22.64,9.03,23.49,4.06,39.27,20.28,#N/A N/A,#N/A N/A,16.5,98.16,16.08,37.066,3.49,165.002,19.1,20.19,26.36,17.736,9.36,18.763,29.72,52.45,23.39,20.8,24.79,14.05,11.232
20-07-2021,113.1,26.59,24.144,27.29,22.164,43.42,16.42,32.11,17.03,34.55,67.254,9.613,18.8,56.6,31.55,24.105,25.288,66.68,21.35,28.219,28.55,22.18,36.12,30.61,18.66,14.75,25.98,17.18,19.091,41.16,9.338,26.21,26,17.32,34.5,6.01,37.47,44.5,13.92,39.545,18.32,59.58,29.11,11.82,43.04,39.48,38.917,38.55,41.346,13.86,44.57,24.35,26.2,23.37,18.5,32.14,31.124,34.66,60.11,22.44,9.07,23.622,4.07,40.44,20.19,#N/A N/A,#N/A N/A,16.75,97.23,15.76,38.62,3.48,165.902,19.2,19.7,26.49,17.463,9.51,19.558,29.16,52.66,23.15,21.53,24.81,14.03,11.17
21-07-2021,114.4,26.96,24.243,27.73,22.173,43.18,16.35,32.43,17.2,34.45,66.566,9.674,19,56.71,31.82,24.465,25.615,66.27,21.7,28.857,28.59,22.15,35.6,30.45,18.64,14.46,26.36,16.98,19.182,41.18,9.362,26.13,25.68,17.41,34.51,6.04,37.24,44.48,13.85,39.264,18.87,60.34,28.91,11.75,42.89,39.29,39.324,38.64,41.435,14.13,45.56,24.26,26.37,23.36,19.09,31.62,31.538,34.59,62.87,22.32,9.01,22.943,3.97,40.74,20.07,#N/A N/A,#N/A N/A,17.05,96.81,15.74,37.975,3.44,180.002,19.68,19.1,26.4,17.554,9.43,19.37,28.91,51.82,22.9,21.66,24.89,14.15,11.226
22-07-2021,114.7,26.9,23.995,27.77,22,43.26,16.5,31.95,17.03,35.1,68.051,9.562,19.06,57,31.66,25.024,25.808,69.92,21.45,29.105,28.92,21.86,36.27,30.61,18.6,14.55,27.2,17.18,18.991,41.2,9.446,26.23,25.77,17.46,35.3,6.1,38.1,45.2,13.81,39.864,18.7,60.62,29.06,11.82,43.08,39.68,38.84,38.59,41.878,14.16,45.9,24.27,26.56,23.25,19,31.33,31.792,34.53,62.4,22.39,9.07,23.075,3.95,40.2,20,#N/A N/A,#N/A N/A,17.86,98.12,15.79,38.041,3.44,177.302,19.92,19.2,27.85,17.562,9.36,20.016,28.94,52.68,23.4,21.44,24.89,14.28,11.007
23-07-2021,114.12,26.74,23.93,27.4,21.773,42.32,16.35,31.78,16.75,34.8,68.071,9.553,18.95,56.36,31.68,24.425,25.529,69.2,21.35,29.276,28.6,22,35.74,30.66,18.36,14.59,27,16.85,18.809,40.97,9.354,25.63,25.65,17.5,36.27,6.05,37.54,44.33,13.66,39.373,18.51,60.29,28.64,11.81,42.1,39,38.792,38.16,41.543,14.29,45.74,23.71,26.15,22.6,19,30.8,31.255,34.38,58.93,21.9,9.04,23.094,3.87,39.7,19.71,#N/A N/A,#N/A N/A,17.943,97.73,15.41,37.983,3.43,173.402,20.2,18.75,27.63,17.471,9.44,19.966,28.21,52.49,23.58,21.22,24.24,14.09,10.616
26-07-2021,116.6,27.47,24.35,27.95,21.955,42.3,16.41,32.27,17.09,34.65,67.772,9.639,18.75,56.64,32.27,24.505,25.125,67.13,21.27,30.286,29,21.94,35.39,31.44,18.22,14.3,26.59,16.57,18.945,40.91,9.3,25.98,25.93,18.04,36.25,6.03,37.88,44,13.65,38.673,19.16,60.13,28.52,11.55,41.87,38.9,39.663,37.81,41.74,14.65,47.36,23.63,25.99,22.04,18.56,30.44,32.352,34.01,60.25,21.56,9.2,22.754,3.79,40.78,19.88,#N/A N/A,#N/A N/A,17.713,96.27,15.21,37.719,3.42,176.402,20.92,18.61,27.23,17.793,9.44,20.264,27.48,51.9,23.09,21.87,24.18,13.74,10.816
27-07-2021,114.18,27.15,24.589,27.83,22.127,42.49,16.1,32.42,16.92,34.39,66.566,9.699,17.95,56.09,31.67,24.615,25.067,67.36,20.8,29.2,28.85,21.54,35.46,31.44,18.09,14.35,26.31,16.63,18.991,40.79,9.331,25.62,25.42,17.8,35.4,6.07,36.87,44.25,13.5,38.173,18.92,58.75,28.2,11.46,42.04,38.79,39.905,37.86,39.476,14.28,46.88,22.96,26.48,21.45,18.19,29.82,31.747,33.5,58,21.4,9.17,22.547,3.73,39.67,19.8,#N/A N/A,#N/A N/A,17.325,93.86,14.92,37.405,3.39,172.202,20.23,18.1,26.16,17.603,9.27,19.926,27.6,51.72,22.48,21.3,22.92,13.25,10.694
28-07-2021,117.3,27.71,25.389,28.34,22.645,42.7,15.84,32.9,17.33,37.2,65.899,9.958,18,55.72,31.02,24.975,25.356,67.72,21.11,29.267,28.85,21.73,36.15,31.92,18.4,14.61,26.82,16.79,19.355,41.44,9.515,26.44,25.27,17.616,36.2,6.17,36.4,44.47,13.63,38.236,19.37,55,28.7,11.56,42.67,39,40.322,38.41,39.427,14.27,45.57,22.93,26.48,21.53,17.81,30.13,32.586,33.47,59.1,21.74,9.11,22.943,3.82,40.68,19.54,#N/A N/A,#N/A N/A,17.965,93.34,14.82,38.116,3.41,174.302,20.19,18.45,25.87,17.686,9.33,19.956,28.4,51.57,22.38,21.9,23.44,13.27,10.622
