,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31
ICICIBANK.NS,-0.10765588396083481,-0.12913896307859185,-0.052762434136738534,-0.04284261861363814,-0.05347474931483309,-0.032302527084785204,-0.08365488799458565,-0.23451639171553673,-0.24465480761870861,-0.1617929627660244,-0.33275904131590694,-0.4006082161501281
ITC.NS,-0.06979397663891052,-0.01500700067133831,0.033221484103324705,0.08898704311004302,0.10152042659776339,0.16307078050769608,0.20231087635208422,0.1510875531048097,0.12135466460647004,0.22982619113917124,0.18495493053980328,0.17128141660538176
INDUSINDBK.NS,-0.15397690872722436,-0.15204214166826846,-0.039442543095774774,-0.06024170718270527,-0.02228862168805479,0.012032928421115807,-0.0019514704491040424,-0.09697744677177167,-0.05819181910404514,0.05847290425191454,-0.057220666465597314,-0.18340666821867424
INFY.NS,-0.09850067631500403,-0.12537778741611638,-0.08029057908686421,-0.16942796268186966,-0.2026151762701871,-0.1745662381267974,-0.21908521408623138,-0.35006069800572304,-0.29013090564397404,-0.1704112364296454,-0.2376037820081388,-0.20536043356667888
JSWSTEEL.NS,-0.23977833263842152,-0.2643343368123261,-0.2860724720506085,-0.2871627095052167,-0.25291721460306527,-0.3159161501757949,-0.39247788330792466,-0.40712065309525647,-0.5145105336963491,-0.4221522440262758,-0.4617190082589331,-0.5592959574652463
KOTAKBANK.NS,-0.15718655744343624,-0.09387766809739195,0.0011297222155999265,-0.04526403233430898,0.0202572253385378,0.10872892488933283,0.04341287137899674,0.016994332549855606,0.05521352762523901,0.21163346693102114,0.12051807866706454,0.0076004175475061775
LT.NS,-0.17137079129106159,-0.19790701611008887,-0.17767096864713638,-0.20338372049537312,-0.18469338068454733,-0.11753145524712905,-0.15754139621150975,-0.2246726231332341,-0.3459363049832219,-0.2993557348612872,-0.3587823087536164,-0.5073480539283972
M&M.NS,-0.09421641823155602,-0.20978142172443104,-0.16689805337715458,-0.11376383844873394,-0.1968729341115193,-0.16591695401725837,-0.12980127028600352,-0.12122957939410395,-0.07568868342901869,-0.013015026038501465,-0.1418242113255147,-0.19837751770143786
MARUTI.NS,-0.12145458115543506,-0.14563854720059233,-0.16456906189383547,-0.13397399157576984,-0.17517656862542452,-0.23469096825171698,-0.19217929802504474,-0.26626659794896224,-0.2635123544860153,-0.23101864722832421,-0.3404806648798083,-0.37060374973435917
NTPC.NS,-0.04736692940887455,-0.11194608762343072,-0.05440747724672723,-0.08720401535665867,-0.15173731211245745,-0.09431421982140198,-0.14619236297257276,-0.18264280406562383,-0.1725603512789281,-0.09754456219123808,-0.17387294580607315,-0.20214595294863702
NESTLEIND.NS,-0.13251266340651158,-0.050109891031642095,-0.01718100171517012,0.07265164160220672,0.102235295087312,0.10321480876782951,0.11723066896185386,0.1566957739610222,0.09487244411766138,0.10908923998088338,0.07417443299876902,0.05243191513079437
ONGC.NS,-0.08895395834904674,-0.16277443433989203,-0.10991329782721393,-0.06511277369511892,-0.13398114734942224,-0.15658498918696107,-0.17825393050511795,-0.20646340243534844,-0.199848197568134,-0.17119142115689423,-0.204015610279227,-0.23315317587316886
