Date,UNH UN Equity,GS UN Equity,MSFT UQ Equity,HD UN Equity,CAT UN Equity,AMGN UQ Equity,MCD UN Equity,V UN Equity,CRM UN Equity,BA UN Equity,HON UQ Equity,AAPL UQ Equity,CVX UN Equity,TRV UN Equity,WMT UN Equity,JNJ UN Equity,AXP UN Equity,PG UN Equity,JPM UN Equity,IBM UN Equity,MRK UN Equity,NKE UN Equity,MMM UN Equity,DIS UN Equity,KO UN Equity,CSCO UQ Equity,DOW UN Equity,INTC UQ Equity,VZ UN Equity,WBA UQ Equity
01-06-2020,305.93,199.93,182.83,247.29,120.5,226.91,187.41,194.35,176.36,151.39,#N/A N/A,80.463,92.79,109.15,123.96,147.19,96.75,117.25,98.6,119.2904,75.8625,99.54,155.58,118.77,46.99,46.3,38.61,61.86,55.78,43.3
02-06-2020,306.31,204.14,184.91,252.71,123.32,223.72,187.59,196.36,174.23,153.31,#N/A N/A,80.835,94.69,111,123.94,148.25,99.07,118.06,98.93,120.3507,77.083,100.74,157.64,118.75,46.9,46.89,40.6,62.12,56.4,43.55
03-06-2020,305.35,210.57,185.36,251,127.09,221,193.29,196.87,174.99,173.16,#N/A N/A,81.28,97.18,114.47,123.47,148.65,105.4,118.53,104.27,123.2639,78.2463,104.11,161.21,122.18,47.9,46.94,41.63,61.93,56.83,43.61
04-06-2020,298.08,214.82,182.92,248.95,128.96,220.88,193.24,193.64,171.44,184.3,#N/A N/A,80.58,96.28,118,122.11,146.73,106.54,116.05,106.44,123.1111,77.76,101.28,162.55,123.69,47.92,46.86,42.71,62.97,57.22,44.2
05-06-2020,311.85,217.92,187.2,254.9,135.12,225.67,197.16,199.61,173.88,205.43,#N/A N/A,82.875,100.81,124.36,121.56,147.3,109.73,118.33,111.23,126.139,78.437,102.71,167.41,124.82,49.09,47.83,43.97,64.34,57.74,45.35
08-06-2020,309.48,220.81,188.36,256.77,137.72,225.75,202.65,199.6,176.55,230.5,#N/A N/A,83.365,103.24,128,121.24,146.77,113.67,119.05,113.45,129.6635,79.0473,104.29,166.87,127.28,49.85,48.13,45.9,63.67,58.09,47.02
09-06-2020,309.21,218.1,189.8,256.76,134.19,224.9,199.52,199.08,174.56,216.74,#N/A N/A,85.998,101.53,125.42,121.35,145.96,110.46,118.34,110.54,125.9575,78.437,102.63,166.7,123.89,49,48.05,44.41,63.04,57.86,45.28
10-06-2020,305.75,213.52,196.84,254.45,132.44,227.12,195.8,200.48,182.1,203.41,#N/A N/A,88.21,97.58,120.98,121.16,147.8,106.16,119.23,106.06,124.0471,77.9698,102.12,163.9,122.18,48.62,47.42,43.58,63.87,58.05,44.28
11-06-2020,283.73,194.13,186.27,239.47,121.55,218.9,187.51,188.88,172.05,170,#N/A N/A,83.975,89.37,110.55,120.09,140.87,98.6,116.26,97.21,112.7189,73.7552,95.17,152.38,112.64,45.54,43.67,39.26,59.7,56.45,40.75
12-06-2020,285.15,201.78,187.74,242.45,123.15,217.9,189.17,192.26,175.11,189.51,#N/A N/A,84.7,92.39,113.33,117.74,142.15,101.68,115.62,99.87,116.444,72.754,96.43,154.87,115.49,45.6,45.07,41.23,59.33,56.53,41.4
15-06-2020,286.28,206.31,188.94,241.36,123.61,219.78,189.49,191.76,178.61,190.94,#N/A N/A,85.748,91.23,114.85,118.08,141.25,103.95,116.69,101.25,116.1957,70.58,97.84,157.73,117.08,46.3,45.35,41.98,60.1,56.15,41.49
16-06-2020,293,209.59,193.57,249.95,130.11,226.87,190.32,192.88,180.48,197.77,#N/A N/A,88.02,94.03,116.15,119.65,144.46,105.62,118.13,102.06,119.5388,73.3929,99.04,159.67,118.44,46.77,46.48,42.25,60.4,56.92,42.15
17-06-2020,292.6,206.19,194.24,250.85,128.23,225.97,190.79,193.56,181.4,192.54,#N/A N/A,87.898,91.54,114.82,119.03,144.02,103.96,117.93,99.48,118.5836,72.7445,99.21,159.22,117.65,46.58,46.17,41.17,60.49,56.65,42.15
18-06-2020,291.48,203.84,196.32,249.21,127.59,230.32,189.49,193.91,187.66,192.29,#N/A N/A,87.933,91.94,116.05,117.99,143.41,102.16,119.28,98.94,118.5932,72.6778,98.45,159.21,118.37,46.99,45.83,41.58,60.08,56.89,41.98
19-06-2020,291.24,201.63,195.15,246.65,127.46,238.7,186.56,192.2,186.95,187.02,#N/A N/A,87.43,90.63,116.56,119.85,143.83,100.94,118.92,97.81,116.9789,74.2797,95.78,158.15,114.35,46.02,45.32,41.65,59.62,56.16,44.13
22-06-2020,292.67,203.42,200.57,249.16,125.79,234.19,187.46,194.96,191.65,188.52,#N/A N/A,89.718,91.59,116.23,121.68,143.39,99.44,117.75,96.75,115.6417,73.1831,99.51,156.69,115.92,45.74,45.16,41.74,60.09,55.66,43.24
23-06-2020,297.6,204.78,201.91,250.31,126.25,235.75,186.62,197.97,189.06,187.88,#N/A N/A,91.633,91.44,116.19,121.07,142.86,99.42,117.73,97.93,114.0561,73.5359,101.92,157.84,116.59,45.64,45.47,41.35,59.92,54.94,42.81
24-06-2020,289.18,198.02,197.84,246.13,122.06,232.51,184.29,191.41,185.55,176.69,#N/A N/A,90.015,87.64,112.86,120.3,139.82,95.48,116.42,94.66,111.2002,72.344,100.08,152.22,112.07,44.65,44.75,38.45,59.09,53.93,41.17
25-06-2020,296.22,207.1,200.34,245.38,124.71,235.11,182.76,193.98,188.34,174.88,#N/A N/A,91.21,89.21,114.62,119.71,139.67,97.85,117.89,97.96,113.6932,73.0115,101.4,154.67,111.36,44.93,45.22,39.98,58.51,54.28,42.04
26-06-2020,286.88,189.19,196.33,241.01,122.39,232.84,179.74,189.27,183.17,170.01,#N/A N/A,88.408,86.46,111,118.32,137.81,93.42,115.23,92.59,111.9357,71.6956,93.67,152.52,109.1,43.57,46.31,39.8,57.5,53.16,41.17
29-06-2020,289.76,193.47,198.44,246.12,125.25,231.56,182.8,191.38,183.33,194.49,#N/A N/A,90.445,87.67,112.9,119.06,139.04,94.52,117.66,93,114.3809,72.5824,95.87,155.57,111.52,44.36,46.15,40.98,58.27,54.69,42.32
30-06-2020,294.95,197.62,203.51,250.51,126.5,235.86,184.47,193.17,187.33,183.3,#N/A N/A,91.2,89.23,114.05,119.78,140.63,95.2,119.57,94.06,115.3552,73.7362,98.05,155.99,111.51,44.68,46.64,40.76,59.83,55.13,42.39
01-07-2020,297.73,197.57,204.7,248.15,126.06,255.12,184.66,193.78,191.89,180.32,#N/A N/A,91.028,87.62,112.5,119.69,140.38,94.05,119.98,93.26,113.2251,74.4895,97.4,155.43,113.01,44.82,46.06,40.75,58.81,54.67,40.88
