,1 month return,2 month return,3 month return,4 month return,5 month return,6 month return,7 month return,8 month return,9 month return,10 month return,11 month return,12 month return,13 month return,14 month return,15 month return,16 month return,17 month return,18 month return,19 month return,20 month return,21 month return,22 month return,23 month return,24 month return,25 month return,26 month return,27 month return,28 month return,29 month return,30 month return,31 month return,32 month return,33 month return,34 month return,35 month return,36 month return,37 month return,38 month return,39 month return,40 month return,41 month return,42 month return,43 month return,44 month return,45 month return,46 month return,47 month return,48 month return
TCS.NS,-1.0221888719219259,-0.9005320006996308,-0.9306780020551618,-0.9447184820139595,-0.8866766641879117,-0.9602166075603339,-1.1179593467375517,-1.1264626275093625,-0.9903832384395872,-0.9908013127114805,-0.915389435911158,-0.9573940186753264,-0.8072426830947462,-0.8963607893429218,-0.7659115628834904,-0.7680070263405854,-0.7003997684042338,-0.7522774062020606,-0.5829416580924796,-0.6638885144474904,-0.6256291042051809,-0.6281720194204834,-0.7267692612525036,-0.5718495026601107,-0.27810545324340846,-0.17826534789041568,-0.5136444765767648,-0.3096297156901666,-0.2530969866943952,0.2637733799718486,0.6378861368129105,0.4567589185300927,0.78063095111072,0.5951806725086032,0.8839451727118527,1.0096343324222452,1.0694910260694424,0.8235082410683098,0.9201935960910429,0.8376535660115957,1.3677816658346376,1.707157177192479,1.6051057958030124,1.9840450777954841,1.765649972075091,1.8279459110525558,1.6777467880942385,1.5515035037086693
TECHM.NS,-0.910314864784996,-0.865960211632533,-0.851247376447877,-0.8635918931583655,-0.7983520904111271,-0.7227055879865826,-0.9003756627662599,-1.0080864506421525,-0.9917097946539405,-1.0207839449013236,-1.0087358463705132,-0.8957580863726973,-0.9700666710376808,-0.7965599039435273,-0.8239746617224897,-0.8646642229195687,-0.8145239218856207,-0.8075980057342773,-0.677865051176508,-0.42621420064159643,-0.46045442423567245,-0.5596206553860192,-0.4839584575964389,-0.3871864422725689,-0.31159666738165437,-0.2993369056423598,-0.45349050287899223,-0.43281567117569764,-0.29890203192111486,-0.028317414104391866,0.15840731676449835,0.10886422437016638,0.4224266754964532,0.6357892435750282,0.8401211470509459,0.7659905926693692,0.882939223966394,0.7782242328368546,0.8318203169224578,0.9641335894921297,1.2976479886520569,1.3246287695877763,1.6368337958579575,1.823068495008477,1.864226226522627,2.0440666339575193,1.975716458299166,2.379862690754666
TITAN.NS,-1.4684746711008214,-1.1042196752440017,-0.9399053631480846,-0.6549263765976129,-0.7467810599485047,-0.5173685050092205,-0.8589729312904294,-0.8097391418662541,-0.683246724077227,-1.2838940340107186,-1.3846329195392695,-0.8998734291270194,-0.5150959680686592,-0.5128241692843148,-0.4454125448563702,-0.6014440060395408,-0.5908396538238284,-0.5863248443476078,-0.6107538783024289,0.012181812556121463,-0.016063735093486495,0.7839802374688621,0.3663998522761515,0.2900597362975183,0.008365052809262308,-0.06034178972772504,0.15799177854821272,0.5068660593601535,-0.5626595560254747,0.08026146836059644,-0.5163358244614146,-0.40163520618943716,0.13876748408058398,-0.448593013944038,-0.4416649257418513,-0.5640635291505123,-0.24151558982356502,0.06948512574628464,-0.051373929845454434,0.7977192930867799,1.4605210788696072,1.3102378862015298,1.6565984990419702,2.346996501055378,2.1230630336639975,1.7720530208637422,1.9394220694383377,2.698007005959779
ULTRACEMCO.NS,-1.569813220597361,-1.201998091842733,-1.2796112991603226,-1.3960771047168932,-1.5714629085578065,-1.38902158316958,-1.3032559247388513,-1.171664254493619,-1.151391113985991,-1.1585792081467823,-1.125773191520949,-1.0368474348750616,-0.6836330562158679,-0.4843101906676703,-0.6495363681480777,-0.6514723753110128,-0.48071696701965616,-0.25384111290906114,-0.13918615279338442,0.368066780473566,0.42056035955033233,0.31909161033126243,0.40222934313190406,0.24715585165335505,0.18327490853473938,0.184941065142821,0.24400775202433178,0.20225384860448897,0.19984683811913373,0.14103729740715662,-0.5320135106796021,0.09015882213079734,0.38324640353344336,0.2733967595318681,0.006073671558233749,-0.09326568152136291,0.1457812089922113,0.7926946264141761,0.49542189111416146,1.1559153553776547,1.546110788105073,1.244407516057897,1.4856416782440693,1.6380001955264492,1.4826552066282832,1.3627841552731563,1.7209019561330912,2.587814861477989
WIPRO.NS,-0.3100504471926481,0.1464119176252758,-0.17854551390069384,-0.22093150466498085,-0.49019939712374894,-0.8007312101153321,-1.3938137402750927,-1.3329138403733658,-1.0498150715456243,-0.933503278793295,-0.6975856406487141,-0.5088491331872941,-0.30541984761256685,-0.21996923081716194,-0.6064272967746586,-0.5518488419375531,-0.6185823085700575,-1.2851611879367906,-1.0340107098385194,-0.8285252942334913,-1.1671033700111888,-0.692646933666399,-0.6787251731042221,-0.4657260816034006,-0.4114352602568731,-0.1791672217058455,-1.1731623994520273,-1.404870151932867,-1.1089559628179038,-0.09820388710893031,0.4196647324014262,0.2998504026648757,0.352658613189311,0.2742979621911649,1.2782337234098886,1.4926984473670373,1.7461494940262314,1.1290772820885286,0.8910390959964849,0.7066600361718374,1.1656117290288768,1.2001092714413317,1.4403421609901246,1.8038609567103574,1.4224834170256668,1.6771189543786973,1.3245457115750823,1.9760660289190473
ASIANPAINT.NS,-1.47594559528884,-1.390876632421523,-1.2216912637383088,-0.9777050689313307,-0.9265469759174029,-0.9615521236017986,-0.8573927615534896,-0.9454199010507606,-0.9372873617575148,-1.1298323673710338,-1.3270503595348473,-1.050155126088096,-0.9297279224161624,-0.8806296735844935,-0.6849239837445198,-0.34494654028555893,-0.4148559847990153,-0.5854320821722409,-0.5865405205685514,-0.38281902975417925,-0.4203198907284814,-0.10149119398765824,-0.030524657517936635,0.017109181633521833,-0.14187044889471406,0.30604504014430717,0.14216907756423527,0.26844401907395404,0.13642817716223965,0.4440140758110308,-0.16240856440657464,0.1056345888270159,0.6748865510076494,0.4238100575391036,0.3280788797572151,0.19973557470074615,0.20885313673171887,0.7344993073938508,0.43433009116790144,0.45151341909475107,1.0899836059995345,1.334891388816739,1.303438355619232,1.353249007524891,1.5477884654418663,2.169328602823609,2.2231903276716616,2.9705250986082605
AXISBANK.NS,-0.43312332243944796,-0.04530737828929632,-0.29070108352734786,-0.2992819668146376,-0.2538238997621732,-0.15232716710041083,-0.7127278666247153,-0.8267133707457407,-0.5294205179992804,-0.9775294205699062,-1.2729172211764532,-0.7078596504764958,-0.49047270830518497,-0.5572554657519824,-0.6403362320593936,-0.9282099300318079,-0.7999382686183838,-0.7388885252879425,-0.8514221813365586,-0.5414437757166737,-0.44127059311280165,-0.14612465160119278,-0.06734065515030412,0.2520964349021552,-0.09399630142360152,-0.18739777612059888,0.22533346907346852,0.0917325855380334,-0.13473213466328612,-0.7274223236795347,-1.167045526219589,-0.7856460431766501,-0.31712891413702615,-0.46268855963120475,-0.14954431381521338,-0.5346510893506684,-0.22041613703556928,0.20143501648246312,0.32507858708565307,1.020604662634131,1.2445145185895672,1.3313275434896175,1.393022244406561,1.1776421259083023,1.8573844249084148,2.317890383195492,2.551447903091374,3.49559507244584
BAJFINANCE.NS,-0.9809154317023469,-0.8826884919341889,-0.883092341287218,-0.9786083405678322,-0.9746378129981477,-0.8681930334152009,-0.9683627277921221,-0.9455489665115547,-0.886549786755714,-0.9506512369478715,-0.9790364043168627,-0.8095457662998391,-0.7628037968692161,-0.7348290074831618,-0.6650974909756473,-0.6937174454157266,-0.6197631721069401,-0.45674016515710414,-0.44325074901846384,-0.2879174936776643,-0.16312799487052684,-0.05331302934270268,-0.08290623685023403,-0.10990377803710152,-0.12262534934479247,-0.28562126735262294,-0.19002556032179121,0.11101278032157393,0.0038575006644052685,-0.2757347779429618,-0.4205690219696145,-0.2490918290581028,-0.01722139902095626,0.05386700064277279,0.26490622916210566,0.20296668117069175,0.2528520397385734,0.5242234091006724,0.6217687404180064,0.8083908930820968,0.7907113632917233,1.0412916773378302,1.3888718410561367,1.7001992049919874,1.8088340475822948,2.161832974124091,2.6503144182818956,3.3561891043773757
BAJAJFINSV.NS,-1.3790060815353655,-0.9880259917496315,-0.9700797065349244,-1.0132367941075415,-1.0256581312539657,-0.9337808330423808,-0.9282123284785059,-0.982182189952999,-0.907223983616059,-1.4122289246770443,-1.3897411600667262,-1.304288865384462,-0.47910466586491146,-0.6091036516837972,-0.0942470385445208,-0.4197805506967523,-0.29706323554443,-0.03210251415792837,0.18939487881242995,0.5885785570594587,0.49223764299457656,0.626154190839781,0.7194363962489563,0.4942039076527319,0.31157068077630995,0.1427006338197838,0.013154198308381632,-0.3317957569136366,-0.42114543300650165,-0.6462092452896804,-0.644019480312445,-0.5767939814033726,-0.4338032197004252,-0.020816504817457716,0.024292216466918946,-0.24964551547828184,-0.0659258987890244,0.22290310949472555,0.41603866513455573,0.5029717124951523,0.8653752095647562,0.9145432617008717,1.3930007709562056,1.7279868835108976,1.4590330909609315,1.8199055519847058,2.508963930753288,3.1227761930673497
BHARTIARTL.NS,-0.27686422351547724,0.3630570656549296,0.9183905438574869,0.7737342447739017,1.2824851724305817,2.320822650717363,1.5466611025146995,0.891599355126825,1.230807088005854,1.0906998349855026,0.04358578009424551,0.5892658211778036,0.2082743562051167,-0.09406094917928726,-0.7675562531613984,-0.9629677188352306,-0.901520168273927,-1.0244183694084557,-2.2852848890690267,-1.8497757287528578,-1.746142330265984,-0.0842985687842421,-0.5753280568706004,-0.020145150675590123,-0.4322137922878115,-1.2008316334597566,-0.5346125003128198,-0.9251954021661029,-1.177686501605905,0.12808944788141124,-0.9957463591600209,-0.5118043840405629,0.6875308847368622,-0.30510710354240955,-0.22465736562896305,-0.6021555600266107,-1.2804169109063583,-0.5340828411333409,-0.2791166036048096,0.11818712409111747,-0.060042304086480314,0.8311048368015084,0.8389717813368748,1.7233653248276377,1.5659724053411537,1.1512572392669103,0.4117644529425696,0.9364051559836722
HCLTECH.NS,-0.9729429506458991,-0.9004856217007274,-0.8080944173412952,-0.8212080006360344,-0.8622891141646113,-0.8785784771083506,-1.0296889230687405,-1.0376796698437474,-0.9623478358271127,-1.085781758252832,-1.077237130396651,-0.9705850116829978,-0.8727293760209897,-0.8762459991446594,-0.8124547595437033,-0.8290710250215616,-0.8863976751837624,-0.7989537516675429,-0.7452620974056666,-0.6766156539520838,-0.6047005190720555,-0.5032882739958147,-0.5823269790613638,-0.43333363605495473,-0.3591030528631659,-0.20896446576442362,-0.3591765141067882,-0.3098706630465306,-0.24437345301982058,0.09530482615181227,0.31166455044168717,0.4099623727030901,0.4313559564195988,0.41165982830287884,0.7972687483050723,1.2286233203697967,1.469295043236444,1.0768099838738392,1.1110132049896004,1.1443348911818947,1.3180760749843397,1.435074124639265,1.6231492666461238,1.803390768764904,1.589086623637476,1.7053149998080868,1.5643114853111395,1.984090735826836
HDFCBANK.NS,-1.4804668214632133,-1.1186464562125733,-1.1806344793541532,-1.0524683464789855,-0.8880383389583139,-0.9892333461831025,-1.0813701468855983,-1.1080488287013377,-0.9693784237714722,-1.2640919498366223,-1.3611923238013688,-0.956349358639379,-0.801237484406508,-0.7841752537644086,-0.6436436137549694,-0.8688660652108992,-0.48543653411587584,-0.33410209437835947,-0.28657640486116864,-0.07521000103098334,-0.04362942349057161,0.3925495069369448,0.23402522853316304,0.011714208595978333,-0.09897263600203608,-0.09897263600203608,0.2571631162018072,0.3709753756122058,0.2120902626348369,-0.16467641610139178,-0.26399109758021444,-0.2699822102270172,0.28334418196606526,0.1603830878148912,0.1890736321659214,-0.04644477231472186,0.2127200448382728,0.7121314581111584,0.5387252709974222,0.9892679349042184,1.2146896845257928,1.293859307421317,1.3545877661560262,1.5396359031689735,1.7889113355551682,2.0769756454518045,2.041682247979217,2.841330263956106
HINDUNILVR.NS,-1.564423153777067,-1.5341800600078228,-1.545446839804845,-1.4306995031316272,-1.1988322389443902,-1.2951183092636473,-1.3166926039834335,-1.1956423833964906,-0.9847032283077974,-0.8347689290972484,-0.7727774266393054,-0.9448422538937565,-0.9372817350334184,-0.7567505296849287,-0.7110884807128284,-0.6481897612506624,-0.4879187550511122,-0.3843514140090108,-0.09292045420588765,0.0947551133377449,0.09933238406471415,0.09623485691235587,0.014166001735858674,-0.30110446660901957,-0.49249715725351767,-0.3444617001189067,0.379297876984332,0.43318507348761176,0.38765993304321295,0.5953809456981183,0.7136183183522864,0.6885941550295112,0.6129930397376985,0.5176739283256613,0.3655413986389279,0.3620684479370546,0.23045318861821695,0.5858493966290542,0.345657075629678,0.571961667133126,0.7256907086594193,1.1488539223414154,1.5055891183826813,1.5282643387012562,1.518398778083618,1.8259175082195493,1.6584718162831829,2.7690823922104326
ICICIBANK.NS,-0.6171002287593166,-0.1411672358484275,-0.14689729869271628,-0.23972617022870837,-0.1648630637424036,-0.356929618946572,-0.899293760382168,-0.8921617798702697,-0.7072268856161872,-1.4327013831423798,-1.5249195720563515,-0.8034264951412234,-0.789659772296319,-0.8430674987499668,-0.8691063538467942,-1.1443046774131247,-0.7507329893365624,-0.5411662706422476,-0.7417619305987494,-0.21141267415671683,-0.24052858993770368,-0.07243524228000349,0.057569852611649916,0.23666667212911274,-0.27370709502990903,-0.2574557790996024,0.14356329699693393,0.17783598173215023,-0.11027839113653232,-0.666888278572662,-1.029355098152669,-0.754320390233892,0.0625208237591911,-0.11750719887735404,-0.013896631378868842,-0.3961564704474475,-0.20287462167365947,0.4897024253736541,0.4840225337337897,1.0852074591501888,1.242644059513743,1.431308240109514,1.7352668071604902,1.2973600720241916,1.9834455404301081,2.437340911687556,2.4767805913549736,2.6117941785202614
INDUSINDBK.NS,-1.2789211150639601,-0.9953759377358904,-1.0196162331645706,-0.9925053791975411,-0.9290859381511911,-0.9342263016802055,-1.092298489832309,-0.9917365658158817,-0.8346285435445184,-1.0771981930320425,-1.2256314516432483,-0.8012151833739314,-0.670452665756971,-0.6100512686123281,-0.5454728340451006,-0.7594479583017526,-0.4905335389623481,-0.5159843690602395,-0.6298004510261344,-0.37921137675634886,-0.322303020858035,0.01817465587978874,0.020114744481623297,0.1413676578015696,-0.012542608865546229,-0.05975031181110926,0.34798216022288747,0.6684135843844107,0.3649714243638099,-0.15561369855786256,-0.3553880292730473,-0.277300565252984,0.22278629656952875,0.07051547930093319,0.060754362597794785,-0.17936566522473507,-0.09021564426316415,0.5888231342913536,0.43590107204462847,0.7977075466751252,1.067781274450774,0.9878708703452515,1.1578432903140194,1.3942993828179453,2.039804503531834,2.238597977851848,2.579199521300533,3.022964399637341
